Inflammatory response ,Epithelial-mesenchymal transition,Apoptosis,Cellular senescence,Autophagy,Oxidative stress
IL6,ITGAV,,PECAM1,GABARAPL2,AR
IL7R,ITGB1,,PGF,GAPDH,AREG
INHBA,ITGB3,,PIGF,GNAI3,ARG1
IRAK2,ITGB5,,PLAT,GNB2L1,ARG2
IRF1,JUN,,PLAU,GOPC,ARNT
IRF7,LAMA1,,PLAUR,GRID1,ASL
ITGA5,LAMA2,,PTBP1,GRID2,ASPA
ITGB3,LAMA3,,PTGER2,HDAC1,ASS1
ITGB8,LAMC1,,PTGES,HDAC6,ATF2
KCNA3,LAMC2,,RPS6KA5,HGS,ATF3
KCNJ2,LGALS1,,SCAMP4,HIF1A,ATF4
KCNMB2,LOX,,SELPLG,HSP90AB1,ATF6
KIF1B,LOXL1,,SEMA3F,HSPA5,ATG5
KLF6,LOXL2,,SERPINB4,HSPA8,ATM
LAMP3,LRP1,,SERPINE1,HSPB8,ATP13A2
LCK,LRRC15,,SERPINE2,IFNG,ATP2A2
LCP2,LUM,,SPP1,IKBKB,ATP5F1A
LDLR,MAGEE1,,SPX,IKBKE,ATP5PD
LIF,MATN2,,TIMP2,IL24,ATR
LPAR1,MATN3,,TNF,IRGM,ATXN1
LTA,MCM7,,TNFRSF10C,ITGA3,ATXN2
LY6E,MEST,,TNFRSF11B,ITGA6,ATXN3
LYN,MFAP5,,TNFRSF1A,ITGB1,ATXN8OS
MARCO,MGP,,TNFRSF1B,ITGB4,AURKA
MEFV,MMP1,,TUBGCP2,ITPR1,AVP
MEP1A,MMP14,,VEGFA,KIAA0226,B2M
MET,MMP2,,VEGFC,KIAA0652,BACE1
MMP14,MMP3,,VGF,KIAA0831,BACH1
MSR1,MSX1,,WNT16,KIF5B,BACH2
MXD1,MXRA5,,WNT2,KLHL24,BAD
MYC,MYL9,,,LAMP1,BAG3
NAMPT,MYLK,,,LAMP2,BAK1
NDP,NID2,,,MAP1LC3A,BAX
NFKB1,NNMT,,,MAP1LC3B,BBC3
NFKBIA,NOTCH2,,,MAP1LC3C,BCHE
NLRP3,NT5E,,,MAP2K7,BCL2
NMI,NTM,,,MAPK1,BCL2A1
NMUR1,OXTR,,,MAPK3,BCL2L1
NOD2,P3H1,,,MAPK8,BCL2L11
NPFFR2,PCOLCE,,,MAPK8IP1,BCL6
OLR1,PCOLCE2,,,MAPK9,BCR
OPRK1,PDGFRB,,,MBTPS2,BDKRB2
OSM,PDLIM4,,,MLST8,BDNF
OSMR,PFN2,,,MTMR14,BECN1
P2RX4,PLAUR,,,MTOR,BGLAP
P2RX7,PLOD1,,,MYC,BIRC5
P2RY2,PLOD2,,,NAF1,BLK
PCDH7,PLOD3,,,NAMPT,BLOC1S1
PDE4B,PMEPA1,,,NBR1,BLVRB
PDPN,PMP22,,,NCKAP1,BMP2
PIK3R5,POSTN,,,NFE2L2,BMP4
PLAUR,PPIB,,,NFKB1,BMP6
PROK2,PRRX1,,,NKX2-3,BRAF
PSEN1,PRSS2,,,NLRC4,BRCA1
PTAFR,PTHLH,,,NPC1,BRCA2
PTGER2,PTX3,,,NRG1,BRF2
PTGER4,PVR,,,NRG2,BSG
PTGIR,QSOX1,,,NRG3,BTD
PTPRE,RGS4,,,P4HB,C12orf65
PVR,RHOB,,,PARK2,C1QBP
RAF1,SAT1,,,PARP1,C3
RASGRP1,SCG2,,,PEA15,C4A
RELA,SDC1,,,PELP1,C4B
RGS1,SDC4,,,PEX14,C5
RGS16,SERPINE1,,,PEX3,C5AR1
RHOG,SERPINE2,,,PIK3C3,C9orf72
RIPK2,SERPINH1,,,PIK3R4,CACNA1A
RNF144B,SFRP1,,,PINK1,CACNA1C
ROS1,SFRP4,,,PPP1R15A,CACNA1S
RTP4,SGCB,,,PRKAB1,CACNA2D1
SCARF1,SGCD,,,PRKAR1A,CACNB4
SCN1B,SGCG,,,PRKCD,CALB1
SELE,SLC6A8,,,PRKCQ,CALB2
SELENOS,SLIT2,,,PTEN,CALCA
SELL,SLIT3,,,PTK6,CALM1
SEMA4D,SNAI2,,,RAB11A,CALM2
SERPINE1,SNTB1,,,RAB1A,CALM3
SGMS2,SPARC,,,RAB24,CALR
SLAMF1,SPOCK1,,,RAB33B,CAMK2G
SLC11A2,SPP1,,,RAB5A,CAMK4
SLC1A2,TAGLN,,,RAB7A,CAMKK2
SLC28A2,TFPI2,,,RAC1,CAMP
SLC31A1,TGFB1,,,RAF1,CANX
SLC31A2,TGFBI,,,RB1,CAPN2
SLC4A4,TGFBR3,,,RB1CC1,CAPN3
SLC7A1,TGM2,,,RELA,CARS2
SLC7A2,THBS1,,,RGS19,CASP1
SPHK1,THBS2,,,RHEB,CASP2
SRI,THY1,,,RPS6KB1,CASP3
STAB1,TIMP1,,,RPTOR,CASP4
TACR1,TIMP3,,,SAR1A,CASP7
TACR3,TNC,,,SERPINA1,CASP8
TAPBP,TNFAIP3,,,SESN2,CASP9
TIMP1,TNFRSF11B,,,SH3GLB1,CASQ2
TLR1,TNFRSF12A,,,SIRT1,CAT
TLR2,TPM1,,,SIRT2,CAV1
TLR3,TPM2,,,SPHK1,CAV3
TNFAIP6,TPM4,,,SPNS1,CBS
TNFRSF1B,VCAM1,,,SQSTM1,CCK
TNFRSF9,VCAN,,,ST13,CCL11
TNFSF10,VEGFA,,,STK11,CCL2
TNFSF15,VEGFC,,,TBK1,CCL3
TNFSF9,VIM,,,TM9SF1,CCL4
TPBG,WIPF1,,,TMEM49,CCL5
VIP,WNT5A,,,TMEM74,CCN2
,,,,TNFSF10,CCNA2
,,,,TP53,CCNB1
,,,,TP53INP2,CCND1
,,,,TP63,CCNF
,,,,TP73,CCR5
,,,,TSC1,CCR6
,,,,TSC2,CCR7
,,,,TUSC1,CCS
,,,,ULK1,CD274
,,,,ULK2,CD28
,,,,ULK3,CD34
,,,,USP10,CD36
,,,,UVRAG,CD38
,,,,VAMP3,CD4
,,,,VAMP7,CD40
,,,,VEGFA,CD44
,,,,WDFY3,CD46
,,,,WDR45,CD55
,,,,WDR45L,CD69
,,,,WIPI1,CD79A
,,,,WIPI2,CD80
,,,,ZFYVE1,CD86
,,,,,CDC25C
,,,,,CDC42
,,,,,CDH1
,,,,,CDH2
,,,,,CDH5
,,,,,CDK1
,,,,,CDK2
,,,,,CDK4
,,,,,CDK5
,,,,,CDK6
,,,,,CDKN1A
,,,,,CDKN1B
,,,,,CDKN2A
,,,,,CDKN2B
,,,,,CDKN3
,,,,,CEBPB
,,,,,CFAP410
,,,,,CFH
,,,,,CFI
,,,,,CFLAR
,,,,,CFTR
,,,,,CHAT
,,,,,CHCHD10
,,,,,CHCHD2
,,,,,CHEK1
,,,,,CHGA
,,,,,CHKA
,,,,,CHKB
,,,,,CHMP2B
,,,,,CHUK
,,,,,CIITA
,,,,,CLEC4A
,,,,,CLIC1
,,,,,CLU
,,,,,CNR1
,,,,,CNTF
,,,,,COA8
,,,,,COL2A1
,,,,,COMT
,,,,,COQ2
,,,,,COX15
,,,,,COX5A
,,,,,COX6B1
,,,,,CP
,,,,,CPOX
,,,,,CPQ
,,,,,CPT1A
,,,,,CPT1B
,,,,,CPT2
,,,,,CR1
,,,,,CR2
,,,,,CRAT
,,,,,CREB1
