ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	21	-0.269154660390393	-1.19239936035429	0.247524752475248	0.471350326522014	0.167723895297365	323	tags=29%, list=10%, signal=26%	CYP4F3/CYP2J2/CYP4A11/CYP2B6/CYP2E1/CYP4A22	0.160801401070022
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	25	0.294848829150811	1.19183160261244	0.263966480446927	0.488400218279427	0.173790877961942	1769	tags=84%, list=53%, signal=39%	ITGB6/ITGA4/ADCY7/ITGB3/TPM4/TPM1/LAMA2/TGFB1/TGFB2/ITGB4/ACTG1/TGFB3/ITGA5/ITGB1/CACNB3/ITGB8/TPM2/CACNA1C/ITGA3/ACTB/CACNA2D3	0.0946646223153342
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	21	0.305457393883081	1.18378665778943	0.264663805436338	0.488400218279427	0.173790877961942	571	tags=29%, list=17%, signal=24%	TUBB3/TUBB/PRKCB/PLCB2/ADCY7/TUBA1A	0.0959206777921745
KEGG_FOLATE_BIOSYNTHESIS	KEGG_FOLATE_BIOSYNTHESIS	2	-0.693236714975845	-1.16060131420655	0.30672268907563	0.539532682343563	0.191985701570681	1019	tags=100%, list=31%, signal=69%	GCH1/ALPL	0.110564716336619
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	11	0.371001049964974	1.15821806600919	0.298701298701299	0.539532682343563	0.191985701570681	997	tags=55%, list=30%, signal=38%	SFN/CCND2/SERPINE1/FAS/BBC3/CDKN1A	0.096240602328129
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	12	0.36721609821315	1.15530211938931	0.310457516339869	0.539532682343563	0.191985701570681	495	tags=33%, list=15%, signal=28%	MMP9/E2F2/CXCL8/MYC	0.0943563635421779
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	25	0.284825429325493	1.15131523118292	0.307262569832402	0.539532682343563	0.191985701570681	1769	tags=84%, list=53%, signal=39%	ITGB6/IL6/ITGA4/ITGB3/TPM4/TPM1/LAMA2/TGFB1/TGFB2/ITGB4/ACTG1/TGFB3/ITGA5/ITGB1/CACNB3/ITGB8/TPM2/CACNA1C/ITGA3/ACTB/CACNA2D3	0.0860347242455604
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM	21	-0.259177616706123	-1.14819941787477	0.287128712871287	0.524449383713882	0.186618505543109	1545	tags=81%, list=47%, signal=43%	ALDH1B1/CAT/OGDHL/ECHS1/ALDH2/MAOB/HADH/ALDH3A2/ACMSD/GCDH/AFMID/EHHADH/AOX1/HAAO/KMO/DDC/AOC1	0.148261500475107
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	22	0.288889426001725	1.13372305894121	0.327433628318584	0.547940700263105	0.194977585606492	1769	tags=82%, list=53%, signal=38%	ITGB6/ITGA4/ITGB3/ACTN1/LAMA2/TCF7/ITGB4/GJA1/LEF1/ACTG1/ITGA5/ITGB1/CACNB3/ITGB8/CACNA1C/ITGA3/ACTB/CACNA2D3	0.0855356947987884
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER	3	0.587133796436122	1.12070675245797	0.328922495274102	0.547940700263105	0.194977585606492	1370	tags=100%, list=41%, signal=59%	MYC/TCF7/LEF1	0.0995791200495904
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER	16	0.322416171485599	1.11759052120015	0.309063893016345	0.539532682343563	0.191985701570681	353	tags=25%, list=11%, signal=22%	RAC2/E2F2/PIK3R5/PIK3CG	0.0891647117820678
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	7	-0.397904993390724	-1.11438685363339	0.320610687022901	0.546564885496183	0.194488019780541	669	tags=57%, list=20%, signal=46%	AHCY/CTH/BHMT/DNMT3L	0.120433371642259
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	11	-0.319024571698626	-1.11024343383837	0.313471502590674	0.539532682343563	0.191985701570681	876	tags=45%, list=26%, signal=34%	ABCC2/ABCC6/ABCC8/ABCG8/ABCC11	0.123257226381337
