"gene","paper_top_celltype","ours_top_celltype","ours_mean","ours_pct","consistent"
"FN1","Endothelial/Mesangial/injured-PCT","Endothelial",1.713,73.8,TRUE
"ALDH2","PCT","PCT",1.533,75.9,TRUE
