"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.47835548676679,0.484,0.006,0,"5","ABCC9"
0,7.43031798233347,0.608,0.006,0,"5","EDNRA"
0,7.41489415391336,0.484,0.005,0,"5","COL14A1"
0,7.40352899179893,0.905,0.05,0,"5","RGS5"
0,7.388311090509,0.385,0.003,0,"5","LGI4"
0,7.34868025031318,0.302,0.003,0,"5","COX4I2"
0,7.28077598407255,0.265,0.003,0,"5","SMOC2"
0,7.27621177553756,0.295,0.004,0,"5","NTRK3"
0,7.21228352831163,0.343,0.003,0,"5","PRELP"
0,7.17215994014794,0.781,0.049,0,"5","TAGLN"
0,7.07111034788028,0.666,0.025,0,"5","MYH11"
0,7.07101976841031,0.444,0.01,0,"5","MUSTN1"
0,7.04962742030787,0.361,0.004,0,"5","FOXC2"
0,7.04938428378394,0.28,0.003,0,"5","HEYL"
3.43573390871192e-265,5.66104339061807,0.278,0.038,9.51938794086812e-261,"6","TMEM52B"
0,5.56963055803693,0.28,0.022,0,"6","DUSP9"
0,4.88078501899168,0.773,0.269,0,"6","DEFB1"
0,4.46922504249461,0.482,0.105,0,"6","PPP1R1A"
3.52034940392508e-200,4.45215105514003,0.276,0.05,9.75383209345521e-196,"6","PDE1A"
4.38468241088473e-317,4.45016325651437,0.487,0.112,1.21486395558383e-312,"6","KNG1"
1.08089112973651e-174,4.36800156734565,0.263,0.051,2.99482505316096e-170,"6","S100A2"
6.77442191250183e-231,3.83155314568941,0.486,0.153,1.87698907929688e-226,"6","CKB"
5.44438085229928e-193,3.72155203103677,0.679,0.412,1.50847460274656e-188,"6","UMOD"
7.75395440943058e-106,3.67983214765351,0.302,0.102,2.14838814822093e-101,"6","MTURN"
1.75302423242544e-139,3.58636114852253,0.411,0.158,4.85710424078116e-135,"6","GSTM3"
3.99582179545645e-219,3.58536204821912,0.544,0.197,1.10712234486712e-214,"6","SLC12A1"
8.66118568727831e-209,3.53508183354689,0.413,0.111,2.3997547183742e-204,"6","MAL"
7.00573207981881e-84,3.19623044775583,0.352,0.159,1.9410781873554e-79,"6","CYS1"
3.49035120887977e-75,3.12119044631283,0.277,0.107,9.67071609444318e-71,"6","POU3F3"
9.96066841720197e-56,2.88741102819065,0.309,0.154,2.75980239835415e-51,"6","EFHD1"
1.23967401027529e-44,2.84959613632362,0.264,0.132,3.43476478026973e-40,"6","COX7A1"
3.85872192119368e-74,2.81198385259162,0.424,0.251,1.06913608270513e-69,"6","MRPS6"
2.5243128292895e-254,2.79510688704653,0.697,0.328,6.99411355611241e-250,"6","CD24"
5.72338783080856e-36,2.77746325950795,0.297,0.175,1.58577906628213e-31,"6","WFDC2"
0,8.86934920764193,0.419,0.001,0,"7","PAX5"
0,7.73347423272899,0.778,0.007,0,"7","CD79A"
0,7.68434590398774,0.255,0.001,0,"7","BLK"
0,7.52550445687879,0.427,0.004,0,"7","VPREB3"
