"id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval"
"fUNYEO","X8sDEr","GWAScatalog_GCST90435706","ALDH2",-0.0230258459987597,0.0584990520624076,0.700772678867174
"0gImqD","X8sDEr","GWAScatalog_GCST90435706","FN1",0.00391309416138898,0.248315049934815,0.989968602653076
