"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"fUNYEO","X8sDEr","GWAScatalog_GCST90435706","ALDH2","Inverse variance weighted",14,-0.395434132746449,0.184554518995663,0.0321419129464823,-0.75716098997795,-0.0337072755149492,0.673387636158671,0.46899602315852,0.966854485199115
"fUNYEO","X8sDEr","GWAScatalog_GCST90435706","ALDH2","MR Egger",14,-0.301987192873432,0.300705336204306,0.335073358667052,-0.891369651833873,0.287395266087008,0.739347533746339,0.41009368235574,1.33295097968032
"fUNYEO","X8sDEr","GWAScatalog_GCST90435706","ALDH2","Weighted median",14,-0.341134121153663,0.237052153757324,0.150131314371323,-0.805756342518017,0.123488100210692,0.710963546560469,0.446749902798193,1.13143654060552
"0gImqD","X8sDEr","GWAScatalog_GCST90435706","FN1","Inverse variance weighted",3,1.02121086399659,0.407528664089864,0.0122153055552828,0.222454682380461,1.81996704561273,2.7765547594978,1.24913921035248,6.17165506342125
"0gImqD","X8sDEr","GWAScatalog_GCST90435706","FN1","MR Egger",3,0.998188601293175,1.5413818181182,0.634146389237292,-2.02291976221849,4.01929696480484,2.71336239314469,0.132268707559861,55.6619597511369
"0gImqD","X8sDEr","GWAScatalog_GCST90435706","FN1","Weighted median",3,1.03122382032788,0.44368688983474,0.0201139622112869,0.161597516251795,1.90085012440397,2.80449593449214,1.17538707191159,6.69158070097823
