Supplementary Table 5. Differentially expressed genes between early DKD patients and controls (n = 390 DEGs),,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
KLF4,-1.092281691,2.982676697,-5.627140086,0.00000267,0.000500486,4.672375515
MIR3918,0.982553727,2.940385302,5.609113119,0.00000281,0.00051942,4.621236512
MIR212,-1.934927101,0.973934613,-5.608292414,0.00000282,0.00051942,4.618908276
NEAT1,-1.238211723,8.632172834,-5.593594938,0.00000295,0.000534969,4.577212627
ZC3H12A,-1.166527974,3.374130368,-5.576349393,0.0000031,0.000548744,4.528286831
CA8,-0.668116915,0.953397426,-5.548028061,0.00000338,0.000582217,4.447936758
NME7,-0.702364084,3.897656815,-5.545230858,0.00000341,0.000583438,4.440000777
MIR425,1.595748927,2.163111214,5.509324214,0.00000379,0.000628879,4.338129928
MIR362,1.990589892,1.984223218,5.506796048,0.00000382,0.000628879,4.330957354
MIR345,1.42437753,2.133187604,5.478757906,0.00000416,0.000669881,4.251413096
TAMALIN,-0.957312434,2.955185863,-5.467990856,0.00000429,0.000687756,4.220868133
LINC01909,0.75474562,1.408917444,5.439823317,0.00000467,0.000735296,4.140964217
MIR30E,0.976792421,3.510106908,5.408008663,0.00000513,0.000790509,4.050724365
RHOB,-1.132165076,6.749014017,-5.405301491,0.00000518,0.000792481,4.043046269
ZFAND5,-0.736648829,4.288917929,-5.39986661,0.00000526,0.00080099,4.027632144
SNORD13E,-1.53669953,1.579745021,-5.375603836,0.00000566,0.000839264,3.95882484
EGR3,-1.389282171,0.748819299,-5.353903515,0.00000604,0.000877607,3.897292999
SLC20A1,-0.825059418,4.082320737,-5.34999737,0.00000611,0.000877607,3.886217971
KLF6,-1.571492635,5.067702224,-5.349860948,0.00000611,0.000877607,3.885831182
DUSP6,-0.703781688,4.160005142,-5.349470759,0.00000612,0.000877607,3.884724903
ZFP36L1,-1.351539713,6.350349894,-5.33811903,0.00000633,0.000889275,3.852541418
MIR181B1,1.190255493,1.357513492,5.29057684,0.00000729,0.00097505,3.717785548
SLC2A14,-0.595173799,0.481396907,-5.270994221,0.00000773,0.001010034,3.662296518
KLF10,-1.150261165,3.957051711,-5.268291438,0.0000078,0.001010034,3.654638804
MAFF,-1.873145428,2.544530594,-5.253323995,0.00000815,0.001039161,3.612235933
CXCL2,-1.910957364,1.795083911,-5.237704445,0.00000854,0.001079123,3.567993055
SNORD97,-0.998125406,3.790290547,-5.221075924,0.00000898,0.001088548,3.520901056
OR52W1,0.650922781,1.062715565,5.180056276,0.0000101,0.001188327,3.404775622
LINC00602,-0.893478619,0.836446552,-5.17303694,0.0000104,0.001203208,3.384910548
CCL3,-1.83788752,1.576510494,-5.162221338,0.0000107,0.001216906,3.354305771
IFRD1,-0.655217359,3.24644889,-5.077629686,0.0000138,0.001492352,3.115118725
MIRLET7A3,1.791592966,3.024033202,5.077539409,0.0000138,0.001492352,3.114863648
CNNM1,0.587723155,0.957238996,5.074522774,0.0000139,0.001499907,3.106340438
MIR363,1.380257042,0.509209976,5.063192441,0.0000144,0.001539317,3.074331987
PRELID1,0.940713147,5.341148603,5.040133964,0.0000154,0.001606181,3.009212899
MIR1251,1.487368802,3.574154435,5.032759898,0.0000157,0.001634386,2.988394238
MIR548AS,-1.476838365,0.638503993,-5.026036688,0.0000161,0.001654919,2.969415834
ARID4A,-0.658043853,2.758206403,-5.015436062,0.0000166,0.001670339,2.939497609
WEE1,-0.585329523,2.612390352,-5.005511268,0.0000171,0.001707896,2.911492916
MIRLET7C,1.553028401,3.026586132,4.993288672,0.0000177,0.001755212,2.877012875
VMP1,-1.166019305,5.131392286,-4.989294695,0.0000179,0.001755212,2.865747863
CSRNP1,-1.192087473,3.58060134,-4.987776081,0.000018,0.001755212,2.861464878
LOC101927377,0.681151012,2.537020463,4.985480986,0.0000181,0.001755212,2.854992246
C10orf95-AS1,0.588393523,3.550299648,4.966805516,0.0000192,0.001808677,2.802336325
MRAP-AS1,0.677924068,1.333162692,4.962590209,0.0000194,0.001808677,2.790454351
MIR98,1.106973856,2.302341021,4.957246601,0.0000197,0.001813002,2.77539367
SERINC1,-0.634808278,6.151292048,-4.942210639,0.0000206,0.001850727,2.733026058
PDK4,-1.795194684,3.781349775,-4.919127124,0.0000221,0.001939572,2.668013312
UGT2B28,-1.886286375,0.88167897,-4.885883377,0.0000244,0.002107256,2.574453854
RHOQ-AS1,-0.770734908,2.692170585,-4.874071937,0.0000252,0.002128795,2.541232704
MIR455,1.015630584,3.032506294,4.867907097,0.0000257,0.002158841,2.523897688
SNORD5,-1.294007235,2.031586588,-4.856289308,0.0000266,0.00221025,2.491237717
LINC01996,0.61310656,1.168878152,4.797194385,0.0000317,0.002526711,2.325284788
HNRNPA2B1,-0.628360585,6.798698465,-4.784657821,0.0000329,0.002607236,2.290118411
H1-1,1.151790385,2.43425502,4.779259841,0.0000334,0.002626515,2.274980927
SEBOX,0.734484345,2.15959141,4.761909143,0.0000352,0.00271072,2.226342942
C11orf96,-1.582056705,4.858782882,-4.750145688,0.0000365,0.002769745,2.193383484
H4C16,0.797050292,6.589751846,4.714977788,0.0000405,0.002972836,2.094928864
SOCS3,-2.296972522,4.041570636,-4.707305025,0.0000414,0.003008525,2.073465007
REC114,0.697987943,1.488210186,4.687925257,0.0000438,0.003112006,2.019278978
MIR103B1,0.678652417,0.427737202,4.686400037,0.000044,0.003117992,2.015016117
RASD1,-2.221856753,4.02081882,-4.672980972,0.0000458,0.003194615,1.977521661
MIR195,1.478188105,1.913720269,4.656991929,0.000048,0.003286593,1.932871791
MIR128-2,0.630092944,0.137326666,4.64706694,0.0000495,0.003330125,1.90517012
MIR130A,0.997615457,1.72857514,4.623798131,0.000053,0.003431957,1.840267923
MIR654,1.039045157,0.993001904,4.618091354,0.0000539,0.003473802,1.824359844
MIR92A1,0.892904629,0.597760477,4.611785055,0.0000549,0.003514217,1.806784953
VTRNA1-3,1.835132125,2.434321082,4.606603613,0.0000557,0.003556647,1.79234839
EGR2,-1.433414158,1.069582781,-4.604959333,0.000056,0.003556647,1.78776775
CIR1,-0.599073523,3.168636066,-4.598614564,0.0000571,0.003591797,1.770095476
ELF3,-1.299028086,5.405196415,-4.590032968,0.0000585,0.003644934,1.746200544
SNORA80D,0.902547814,2.743583397,4.587486348,0.000059,0.003663905,1.73911134
PLAUR,-0.98950435,1.869430396,-4.563135322,0.0000633,0.00379855,1.671363675
IRS2,-0.740363365,3.063335493,-4.557076774,0.0000645,0.003828867,1.654519428
PTP4A1,-0.672595407,3.983027213,-4.546642632,0.0000665,0.003893314,1.625520791
TMPRSS11BNL,0.705345812,0.133882816,4.545351594,0.0000668,0.003893314,1.62193369
DNAAF4-CCPG1,-0.659488589,2.892209731,-4.54083472,0.0000676,0.003906738,1.6093854
H3C1,1.083074497,4.255230664,4.53999597,0.0000678,0.003906738,1.607055563
ITGA6-AS1,-0.729513986,2.845680165,-4.539447243,0.0000679,0.003906738,1.605531387
RMRP,0.934069828,13.21824701,4.517834022,0.0000724,0.004056065,1.545528251
MIR8085,-1.732087399,2.804009275,-4.512375638,0.0000735,0.004104872,1.53038424
FAM222A-AS1,0.650145024,1.528207117,4.511571442,0.0000737,0.004106222,1.528153373
DUSP8,-1.047499208,2.262162135,-4.493155084,0.0000778,0.004239706,1.477089453
TMOD4,0.783388264,1.879997793,4.486409254,0.0000794,0.004307395,1.458396445
PDE4B,-0.818225094,2.00230637,-4.478570402,0.0000812,0.004373021,1.436682453
DIAPH1-AS1,-0.641088817,1.917987984,-4.458457329,0.0000862,0.004584784,1.38100733
MIRLET7F1,1.136601046,2.824822199,4.453015703,0.0000875,0.004631548,1.365954115
MIR708,1.552323455,2.206755684,4.442677172,0.0000902,0.00472848,1.337366185
PLAC9,0.590321458,3.746341467,4.441586982,0.0000905,0.00472848,1.334352503
UGCG,-0.71129942,4.103268338,-4.439650068,0.000091,0.00472848,1.328998594
LINC00473,-1.481394404,2.047669486,-4.438135598,0.0000914,0.00472848,1.324812759
MIR645,1.059968858,4.632054003,4.436786737,0.0000918,0.004738265,1.321084928
NUCB2,-0.597285844,2.509485126,-4.431092549,0.0000934,0.004790904,1.305350885
C5AR1,-0.806853254,2.66963107,-4.410072442,0.0000993,0.005010583,1.247309857
GJA1,-0.80250201,3.14987619,-4.396213435,0.000103391,0.005142172,1.209078191
MIR3184,1.082744716,2.683606196,4.388269369,0.000105821,0.005215702,1.187176683
PPDPF,-0.718541462,7.494609842,-4.373870787,0.00011037,0.005353244,1.147504989
CFI,-0.818926325,6.479864981,-4.358675732,0.000115379,0.005501613,1.105673789
TMEM216,0.594718701,2.884439564,4.356902777,0.000115978,0.005517818,1.100795302
MIR18A,1.311581138,1.611366919,4.349726561,0.000118433,0.005586142,1.081054224
REL,-0.598464246,2.538171846,-4.345880728,0.00011977,0.005600994,1.070478087
C10orf62,0.846906674,3.463410938,4.34399612,0.000120431,0.005622287,1.065296231
LOC644656,0.757784365,2.458731798,4.323491498,0.000127853,0.005868802,1.008954513
SNORD63B,-1.038628113,3.398751997,-4.313156563,0.000131762,0.005978171,0.98058268
ADAMTS4,-1.475694735,1.038574385,-4.297035468,0.000138097,0.006128806,0.936361907
HIF1A-AS3,-0.976729852,3.092570103,-4.280232994,0.000145018,0.006338216,0.890318743
MIR532,1.121704985,2.601168043,4.276594024,0.000146561,0.006385295,0.880353366
UFSP1,0.754106853,2.177248143,4.266337112,0.000150998,0.006547377,0.852276954
MIR93,0.834172782,2.88763746,4.259369434,0.000154087,0.00664976,0.833214644
MIR331,1.153538402,2.549647439,4.257328349,0.000155004,0.006657863,0.827632212
MAFK,-0.600350509,4.046824431,-4.251720952,0.000157549,0.006746068,0.812299571
MXD3,0.618242045,3.699951351,4.24663139,0.000159896,0.006796133,0.798387681
TMEM119,1.002013722,2.943741329,4.239774201,0.000163111,0.006862267,0.779651407
H4C2,0.866416474,7.138806577,4.236542429,0.000164649,0.006888596,0.770823968
MIR6748,0.706751072,4.191746647,4.229597326,0.000168001,0.006986182,0.751860077
SAMD5,-0.643233647,2.904077495,-4.225733512,0.000169895,0.007022313,0.741313535
FOXF1,-0.611652312,0.836780873,-4.219290991,0.000173099,0.007090599,0.723734257
RPSA,0.629389345,8.168592638,4.212402563,0.000176591,0.007201347,0.704946636
MIR4647,0.60271367,4.526426124,4.204986636,0.000180428,0.007292692,0.684730039
ITPRIP,-0.895638882,2.958587429,-4.19077902,0.000188008,0.007477757,0.646027042
ABHD14A,0.748406907,4.877364013,4.181998426,0.000192848,0.007603302,0.622126684
MIR487A,1.059671921,0.604943924,4.179458786,0.000194271,0.007603302,0.615216619
MIR4256,0.846488688,4.150549927,4.179096757,0.000194474,0.007603302,0.61423168
MIR154,1.073627731,0.54938725,4.176930014,0.000195697,0.007617744,0.608337335
MIR548O2,-1.188869496,0.679528609,-4.162477388,0.000204051,0.007831659,0.569043741
MCL1,-0.741952251,6.004963603,-4.148630848,0.000212381,0.008038801,0.531435672
HSPB9,0.671076372,1.61512978,4.138038716,0.000218978,0.008175568,0.502692
CEBPA,0.677288747,3.394513558,4.125802387,0.000226849,0.008366837,0.469514023
HMGN5,-1.030036596,1.556674159,-4.104657462,0.000241108,0.008705304,0.412251499
MIR664A,-0.884875538,0.736121509,-4.1013366,0.000243426,0.008739523,0.403266487
MAGI2-AS2,-0.616950261,0.525095793,-4.099720042,0.000244562,0.008739523,0.398893497
CD69,-0.993544496,1.228232247,-4.089818654,0.000251635,0.008843566,0.372120683
LINC01098,-0.6323436,0.804251961,-4.08316892,0.000256498,0.008942826,0.354151483
MIR326,1.130910779,3.041070889,4.074857334,0.000262705,0.009111039,0.331704441
IL1B,-1.14930101,1.402592723,-4.074486868,0.000262985,0.009111039,0.33070426
MIR26B,0.658551709,4.213414887,4.071840522,0.000264994,0.009157487,0.323560516
MIR1248,-0.749325934,3.145847572,-4.066299009,0.000269249,0.009257855,0.308606097
SNORA81,-0.750751526,2.854198216,-4.060254952,0.000273967,0.009361346,0.292302866
HSPA1B,-1.151790225,6.784921793,-4.050396415,0.000281837,0.009569369,0.265727055
SNORD18C,-0.998909376,1.60872038,-4.042295948,0.000288468,0.009668586,0.243906003
MIR106A,0.785527376,0.466310095,4.041874375,0.000288817,0.009668586,0.242770757
MIR4742,-1.06793872,1.465224125,-4.041280962,0.00028931,0.009668586,0.241172826
MIR6732,-1.431019376,3.189643966,-4.035848473,0.000293855,0.009770161,0.226547857
CISH,-0.845039386,4.10821977,-4.019650015,0.000307826,0.010130164,0.182977465
MIR548T,-1.126380232,0.85392756,-4.010416149,0.000316079,0.010224946,0.158166016
HSPA1A,-1.124915882,6.908312147,-4.01005689,0.000316405,0.010224946,0.157201063
MIR4659A,-0.963298328,1.420976983,-3.988793277,0.00033626,0.010579638,0.100139187
H4C8,0.789145764,6.498856288,3.982479811,0.000342386,0.010710895,0.083216221
MIR4529,-0.943456982,0.523196451,-3.97545491,0.00034933,0.010853963,0.064396885
MIR1255B2,-1.234055652,1.158747375,-3.962215939,0.000362794,0.011019175,0.028960973
MIR4521,1.252450821,1.401923276,3.961535378,0.000363499,0.011019175,0.027140446
MIR101-1,0.894249858,2.761844944,3.955541859,0.000369772,0.011159932,0.011112156
RIPOR3-AS1,0.905937882,2.713824296,3.952558336,0.000372933,0.011193709,0.003136505
TNFSF9,-0.600495583,0.734745252,-3.949024374,0.000376712,0.01128242,-0.006307923
MIR148B,1.485710116,2.197558132,3.946349097,0.000379597,0.011307054,-0.013455603
