"Supplementary Table 3.  Differentially expressed genes between late and early DKD patients (n = 2,833 DEGs)",,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
HCLS1,1.555241482,4.52223725,6.797741205,8.26689E-08,2.63426E-05,7.975917349
ADAMTS17,-0.782944278,1.301624647,-6.783762306,8.61269E-08,2.65849E-05,7.936900159
SELPLG,1.589910462,2.815263397,6.783680107,8.61477E-08,2.65849E-05,7.936670676
COL8A1,1.393651222,2.765075815,6.776403977,8.80055E-08,2.65849E-05,7.916354918
GBP2,1.146106869,3.018636785,6.775936679,8.81262E-08,2.65849E-05,7.91505001
ITGAM,1.200322574,2.553684774,6.7753425,8.82799E-08,2.65849E-05,7.913390763
PLEK,1.816820469,2.88252112,6.764367683,9.11679E-08,2.71335E-05,7.882737889
BMP7,-0.921929321,2.176592236,-6.755942347,9.34496E-08,2.72435E-05,7.859198515
FOLR2,1.329420046,3.806321702,6.749725675,9.51701E-08,2.73642E-05,7.841825864
GNG2,0.769981391,2.181596891,6.747262045,9.58607E-08,2.73642E-05,7.834940247
IL2RG,2.225319268,3.04987557,6.740785951,9.77003E-08,2.76019E-05,7.816837623
GLIPR2,1.249504481,2.425768383,6.729376138,1.01029E-07,2.78043E-05,7.784934864
CD163,1.528507333,3.590249019,6.727922978,1.01461E-07,2.78043E-05,7.780870898
IRF8,1.951389181,3.551263175,6.718322838,1.04362E-07,2.81883E-05,7.754018162
EMB,1.000661498,1.910386028,6.71318922,1.05948E-07,2.81883E-05,7.739655554
PRKCZ,-0.72680149,3.504742655,-6.709138657,1.07216E-07,2.82514E-05,7.728321471
S100A11,1.344677264,6.925884492,6.686699919,1.14525E-07,2.98899E-05,7.665509113
NCS1,-0.867772964,4.025704279,-6.668118439,1.20956E-07,3.01086E-05,7.613462053
ARL4C,1.980518995,3.018792564,6.66763364,1.21129E-07,3.01086E-05,7.612103734
CASP4,1.00564958,4.560485231,6.659986904,1.23884E-07,3.01086E-05,7.590676381
MMP14,1.034593343,5.468912359,6.655636323,1.2548E-07,3.01086E-05,7.578483199
IFNAR2,1.161647389,3.477517851,6.654814663,1.25784E-07,3.01086E-05,7.576180193
LYZ,2.99245529,4.602935915,6.654449107,1.25919E-07,3.01086E-05,7.57515557
ADAM19,1.461505612,2.490686564,6.654436017,1.25924E-07,3.01086E-05,7.575118879
SASH3,1.682723623,2.944294769,6.647007019,1.28707E-07,3.0269E-05,7.554293591
PTPRC,1.869467681,3.026751444,6.645624281,1.29232E-07,3.0269E-05,7.550416939
WFDC2,2.208728055,7.080583134,6.63578267,1.3303E-07,3.0626E-05,7.522820397
CD2,1.993592811,2.353727805,6.631100625,1.34876E-07,3.0626E-05,7.509688841
PIK3CG,1.18370341,1.844506413,6.6302206,1.35226E-07,3.0626E-05,7.507220469
