"Supplementary Table 4. Differentially expressed genes between late DKD patients and controls (n = 3,525 DEGs)",,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
TFRC,-0.719022238,3.395488509,-9.298863418,7.57154E-11,2.12528E-08,14.76332518
RNASE1,1.077584788,7.113562138,9.223120734,9.25388E-11,2.5565E-08,14.5679582
MIR29C,0.993482793,5.108851219,9.220077218,9.32894E-11,2.5565E-08,14.56009131
NRM,0.754073622,2.444674349,9.213193538,9.50099E-11,2.57787E-08,14.54229364
LOC105371022,-0.668383316,0.743269476,-9.184489889,1.0254E-10,2.72816E-08,14.46801011
FOLR2,1.556231424,3.806321702,9.180471025,1.03642E-10,2.72995E-08,14.45760043
SGPP1,-0.701377506,3.887285857,-9.162033905,1.08853E-10,2.78785E-08,14.40981594
NR0B2,-1.529347824,2.054753404,-9.125868626,1.19863E-10,3.04141E-08,14.31594832
CCDC68,-0.600646681,0.92684557,-9.107059188,1.26031E-10,3.16858E-08,14.26705692
COL6A3,2.16258628,4.418998845,9.100556708,1.28238E-10,3.19475E-08,14.2501437
MIR12136,-2.38990564,9.447165911,-9.091514955,1.31372E-10,3.21509E-08,14.22661607
MFAP4,1.598939313,4.844116281,9.091432909,1.31401E-10,3.21509E-08,14.22640253
CA8,-0.826146342,0.953397426,-9.075325074,1.3718E-10,3.32546E-08,14.18446016
LAMA4,1.023468543,3.062752496,9.069032162,1.39507E-10,3.32546E-08,14.1680647
SIK1,-1.612829627,2.527164904,-9.064539907,1.41194E-10,3.32546E-08,14.15635732
TWF2,0.972375406,4.654581774,9.025984705,1.56545E-10,3.60501E-08,14.05576386
GPX8,0.78793838,2.141891892,9.017155383,1.60294E-10,3.6574E-08,14.03269883
DKK3,1.167341944,4.29061877,9.013817441,1.61735E-10,3.6574E-08,14.02397628
ZFP36,-2.246236101,5.816779658,-9.005251075,1.65493E-10,3.6574E-08,14.00158408
VPS13A,-0.659425284,3.838281923,-8.998116253,1.68691E-10,3.69825E-08,13.98292623
LOC105374191,-0.740029617,0.6850831,-8.940803617,1.96775E-10,4.15238E-08,13.83279928
AUH,-0.609452692,3.438507201,-8.940412277,1.96982E-10,4.15238E-08,13.83177265
NT5DC2,0.679991636,3.776066369,8.925878968,2.0484E-10,4.2526E-08,13.79363161
PTGER3,-1.46300487,3.385604325,-8.918487357,2.08958E-10,4.30548E-08,13.77422213
SCML1,-0.640455947,2.355688491,-8.911827444,2.12741E-10,4.33553E-08,13.75672764
ZNF331,-0.680289485,2.273617813,-8.910364658,2.13581E-10,4.33553E-08,13.75288434
PRKAG2,-0.640657358,3.098081773,-8.905346747,2.16488E-10,4.36224E-08,13.73969814
MIR3189,-2.698381688,4.167325048,-8.900528698,2.19318E-10,4.37024E-08,13.72703393
BHLHE40-AS1,-1.161173875,1.984019754,-8.899250551,2.20075E-10,4.37024E-08,13.7236738
INKA1,0.856792442,2.702091668,8.888768518,2.26384E-10,4.3808E-08,13.69610913
CAMK2N1,-1.15505759,5.422929082,-8.887759677,2.27001E-10,4.3808E-08,13.69345538
PPIB,0.689280349,6.950825281,8.881173909,2.3107E-10,4.42815E-08,13.67612822
RPS6KA6,-0.606394739,1.659859112,-8.87129875,2.37311E-10,4.51406E-08,13.65013564
NECAP2,0.598644099,4.574645045,8.868518746,2.39099E-10,4.51406E-08,13.64281597
ANKRD26,-0.647274572,1.855862388,-8.866362154,2.40495E-10,4.51406E-08,13.63713699
NME7,-0.848377858,3.897656815,-8.860652107,2.44232E-10,4.55141E-08,13.62209763
ZNF404,-0.619148948,0.935622837,-8.853304287,2.49128E-10,4.55141E-08,13.60273814
DIP2C-AS1,-0.665624846,3.555727596,-8.838737655,2.59132E-10,4.62482E-08,13.56433746
MIR29B2,0.937874186,3.722452516,8.833807664,2.62609E-10,4.62482E-08,13.55133448
SYCP2,-0.955866844,0.992966858,-8.833390221,2.62906E-10,4.62482E-08,13.55023331
FMOD,1.428348554,3.340938471,8.831873083,2.63987E-10,4.62482E-08,13.54623107
