gene	logFC	adj.P.Val	방향
IGHG3	4.829	0	↑Up
LTF	4.523	0	↑Up
LYZ	4.296	0	↑Up
CXCL6	4.219	0	↑Up
JCHAIN	3.869	0	↑Up
MMP7	3.722	0	↑Up
C3	3.584	0	↑Up
IGLC2	3.439	0	↑Up
NNMT	3.276	0	↑Up
COL3A1	3.022	0	↑Up
TAC1	3.003	0	↑Up
PROM1	2.994	0.001	↑Up
VIM	2.882	0.001	↑Up
EVI2B	2.786	0	↑Up
POU2AF1	2.751	0.014	↑Up
EVI2A	2.743	0	↑Up
MS4A4A	2.694	0	↑Up
SERPINA3	2.657	0.002	↑Up
PLK2	2.65	0	↑Up
CPA3	2.643	0.001	↑Up
