id	logFC	P.Value	adj.P.Val
DBT	-0.26501845153443515	3.363341355368801e-06	4.143656211291047e-05
CUL5	-0.1787701754255897	3.3685327669653686e-06	4.148536336817831e-05
SLC41A3	0.14963246557527654	3.3708991215019033e-06	4.1499349535247965e-05
RNU6-106P	0.1556416802256515	3.3762364036673743e-06	4.1549887420315276e-05
MIR4736	0.2466560664537054	3.387372691947673e-06	4.167172826431066e-05
SFXN2	-0.5278843965131141	3.4013194530363764e-06	4.182804228898126e-05
SLC25A42	-0.33997361275493	3.413072367541835e-06	4.1926703181606806e-05
TRAM1L1	-0.4415985394514017	3.4122429914543594e-06	4.1926703181606806e-05
ECHDC1	-0.20789125125549113	3.41218085653964e-06	4.1926703181606806e-05
MT1CP	-0.40536502535412566	3.4144499860337523e-06	4.1928351612912643e-05
RP11-730G20.1	0.1317211426345848	3.4195460630948033e-06	4.197564370133119e-05
GLUD1P2	-0.26878658517384846	3.422451529115816e-06	4.199602094679233e-05
LOC256676	0.20814560152376504	3.440297679483832e-06	4.2199649964421545e-05
RCBTB2	-0.13493181222681105	3.456780125642009e-06	4.237100175814196e-05
LOC101928812	-0.4046320091517863	3.455662791784062e-06	4.237100175814196e-05
ZNF281	-0.2054221896552555	3.461418177582495e-06	4.24124349375297e-05
CTC-303L1.2	0.21625141761582478	3.4637452414880893e-06	4.242553198074042e-05
POLR2J4	0.32693858463560677	3.48028729358915e-06	4.261266795200658e-05
RP4-583P15.10	0.29246011204331523	3.5004391484162702e-06	4.284385048442709e-05
DUT	-0.1228443213501178	3.519751032405577e-06	4.305095834868395e-05
LBH	0.1932112081598083	3.5199137653416857e-06	4.305095834868395e-05
FBXL18	0.10163882921929801	3.5302002192366e-06	4.316111363040542e-05
MIR133A1HG	0.5262518003433234	3.5354390634598123e-06	4.320392358937456e-05
PAX6	-0.08940457961430814	3.5362642083829712e-06	4.320392358937456e-05
RNU6-385P	0.2566069805234026	3.5377936908098423e-06	4.3206955180770694e-05
MIR4297	0.2477842377920707	3.5414080594567704e-06	4.323543800321589e-05
RP11-77G23.5	0.2499302599567068	3.543118169975732e-06	4.3240660402309694e-05
RGS19	0.19882415675446108	3.5444079699890917e-06	4.324075135601743e-05
RPS11	0.08092591415524275	3.550378575727814e-06	4.3297926066380436e-05
CAPS2	-0.3012466819860964	3.5737396636954324e-06	4.356706488062545e-05
PAH	-1.0469277829429053	3.5757389275149352e-06	4.357568364141801e-05
ATIC	-0.21583964772871145	3.584913260533711e-06	4.3671703448409226e-05
LOC113230	-0.3807073924524298	3.6001035861203313e-06	4.38409147432205e-05
RNA5SP477	0.448674240520627	3.6033279283683344e-06	4.3864338535949543e-05
GPX3	-0.4303010023156304	3.6125710539350764e-06	4.396098734705549e-05
RNA5SP465	0.4403097461550578	3.6152526675088477e-06	4.39777488991336e-05
FAM98A	-0.2806175985952235	3.6186684016753595e-06	4.400342535322507e-05
KBTBD11	-0.2827124875387721	3.623420543795142e-06	4.404532831174195e-05
C1orf143	0.08959850590801333	3.6269735986185267e-06	4.407263053888891e-05
COX6A1	-0.16612476672028365	3.6458726737996677e-06	4.428632080710547e-05
RNU6-682P	0.19306841184679113	3.654415540718099e-06	4.435813248128665e-05
TIMM44	-0.2324187825801518	3.6543023658845196e-06	4.435813248128665e-05
MRPL44	-0.2432617679268425	3.6564346378243626e-06	4.436667002066841e-05
AC090617.1	0.4005279188033204	3.659939766982414e-06	4.439322623836223e-05
TNRC6A	0.15931000120629868	3.6640997967284474e-06	4.442770411567179e-05
RNA5SP401	0.17483663315399633	3.6707919572148487e-06	4.449284859715481e-05
LOC285778	0.17818540146900919	3.673033430504946e-06	4.450401986224462e-05
CNDP1	-0.2550886819013871	3.6879982181124044e-06	4.466928876248214e-05
MIR603	0.4054142352411034	3.699563960989343e-06	4.4793284296072045e-05
HBP1	0.12635996311051567	3.706999814123111e-06	4.485576417990476e-05
MSR1	0.7356778909274131	3.707384779638036e-06	4.485576417990476e-05
PENK	-0.11553340732664319	3.711188022098853e-06	4.488567435623146e-05
AUNIP	-0.17134452471726025	3.734015134383507e-06	4.511321760351554e-05
RNU6-608P	0.3211113651043851	3.733232324169734e-06	4.511321760351554e-05
PXN	0.24987382018519444	3.7321562148681506e-06	4.511321760351554e-05
VMAC	0.2763625067973754	3.7602227290694527e-06	4.5413578232171184e-05
TIE1	0.1594014019299781	3.7668565309514128e-06	4.547740860138977e-05
FLJ25363	-0.1428145946406909	3.778938004051482e-06	4.560693969098639e-05
RP11-1E22.1	0.2002629665768758	3.7938984510039093e-06	4.577111118706684e-05
C11orf87	-0.12738600058710858	3.812156659880795e-06	4.597493654191002e-05
CCZ1B	0.09701994479359666	3.833250139047705e-06	4.620032477010196e-05
USP29	0.07414456614913778	3.833585667459824e-06	4.620032477010196e-05
ESR2	0.08394008615355464	3.844432100101935e-06	4.631448746532234e-05
RNU6-110P	0.2367205079469623	3.846992423377585e-06	4.632878018439006e-05
RP5-931E15.2	0.17963043192314032	3.8524442393784855e-06	4.637787209990808e-05
MKRN1	0.06617153039837032	3.855677564699497e-06	4.640023107839652e-05
WHAMMP2	0.13959224148778393	3.8626180825888245e-06	4.64671715108438e-05
RNU6-1090P	0.2108050841939617	3.86773634214605e-06	4.651215030569358e-05
AC068610.5	-0.1603886726056385	3.882638933201359e-06	4.6674718298591736e-05
PTRF	0.19799955856065132	3.884462422806843e-06	4.667999746865529e-05
HMGN2P17	-0.2556607487550471	3.890226080750105e-06	4.6732605430314754e-05
LOC100507065	-0.07888598232329569	3.908714417863654e-06	4.6937980829901146e-05
BDH2	-0.39507961590899576	3.914764089153035e-06	4.697716906983642e-05
GLIS2	0.28206575544951207	3.913546207398081e-06	4.697716906983642e-05
ITCH	-0.2100333916013719	3.920820940143582e-06	4.703311351890487e-05
GLOD4	-0.15614429274450714	3.9238373380911375e-06	4.705255869147694e-05
MIR4312	0.360139987820542	3.936089333224377e-06	4.718269901042516e-05
PLA2G15	-0.22846394624291566	3.944186550508618e-06	4.7262960370700285e-05
RPL24	0.10237605340839018	3.9501664561071465e-06	4.7317802095890935e-05
PIGK	-0.27117654428139115	3.968180664743172e-06	4.7516708812194517e-05
PAPOLA	0.11303873084707128	3.970944289732971e-06	4.753292206240532e-05
CR1	-0.6647216656458852	4.014375329408458e-06	4.803574737673996e-05
RPL23AP53	0.23259834154359904	4.018881110303098e-06	4.807260412891822e-05
CCHCR1	0.12524119094979813	4.022751944894281e-06	4.8101842404906085e-05
RNU6-1172P	0.2399897754474285	4.025766337293397e-06	4.812082272014652e-05
C16orf87	-0.24079858670770804	4.027350388179535e-06	4.812269847250671e-05
KPNA1	0.16667507628816747	4.033109577188522e-06	4.817444383379276e-05
SLC45A1	-0.3631743332313153	4.034622926295769e-06	4.817545505477809e-05
