id,logFC,P.Value,adj.P.Val,direction
FN1,2.104234020712073,8.899743770596074e-13,2.0554750681130112e-10,Up
ALDH2,-0.4210444814404166,3.240551108469999e-08,9.510129101619527e-07,Not
