gene	logFC	adj.P.Val	방향
FOSB	-5.47	0	↓Down
NR4A1	-4.712	0	↓Down
FOS	-4.236	0	↓Down
SRRM4	-4.117	0	↓Down
COL6A5	4.09	0	↑Up
KLK1	-4.083	0	↓Down
NR4A2	-4.071	0	↓Down
CCL19	4.053	0	↑Up
CFHR1	3.913	0	↑Up
GREM1	3.837	0	↑Up
DCANP1	3.794	0	↑Up
IGLL5	3.665	0	↑Up
EGR1	-3.653	0	↓Down
PAX5	3.653	0	↑Up
LINC01426	3.633	0	↑Up
MIR3189	-3.399	0	↓Down
ATF3	-3.366	0	↓Down
IRF4	3.366	0	↑Up
LTF	3.337	0	↑Up
CCL21	3.301	0	↑Up
