id	logFC	AveExpr	t	P.Value	adj.P.Val	B
AGAP1	-0.311726887684078	12.7523737918534	-4.00202684417653	0.000438317306525537	0.00344558307197384	-0.119747687901887
LZTS3	-0.579408343170497	12.0514216510192	-4.00001529271931	0.000440658585443691	0.00346153910174017	-0.124785473463087
ASPHD1	1.05365988067121	7.24566147631209	3.99993698808817	0.000440749974080976	0.00346153910174017	-0.124981570101757
ZNF850	0.321261962691629	8.91754304415401	3.9996762660026	0.000441054395022055	0.00346234752126953	-0.125634484623725
RFTN1	0.556365165408778	11.3758798712564	3.99779752904154	0.000443254150035819	0.00347802708411667	-0.130339033558274
NRL	-0.605328755980131	7.67553182885556	-3.99621892689019	0.00044511083423123	0.00348948299910012	-0.134291623967758
KIF2A	0.528304244977436	10.2928972779605	3.99621092020805	0.000445120270834931	0.00348948299910012	-0.13431167062649
LOC100507412	0.651144412023481	9.23931040567436	3.9954661143075	0.000445998954205939	0.00349277558412555	-0.136176431531413
KYAT1	-0.606031134690761	9.58956424325732	-3.99539081023911	0.000446087889031125	0.00349277558412555	-0.136364964924399
MTA2	0.353350619337723	11.9142383542696	3.99533818782186	0.000446150046971344	0.00349277558412555	-0.136496711411805
ZMYND10	0.673562560490198	7.62674966082343	3.99505294136678	0.000446487130332304	0.00349382279035988	-0.137210852960465
HDX	0.413930558238312	7.79868279925949	3.9946524039248	0.000446960879355591	0.00349593798399931	-0.138213616708679
LINC01376	-0.714860745572895	6.44333689480073	-3.99438612051319	0.000447276108749671	0.00349681194392828	-0.138880256618791
PHTF2	0.425361418561177	9.457893780857	3.99369039946191	0.000448100744646539	0.00350166584629656	-0.140621944581415
DMGDH	-0.905885949778025	13.1773557982684	-3.9930895669764	0.000448814113660323	0.00350407581875109	-0.142126029781751
MPZL2	0.670464266285206	9.30192733933825	3.99308715996131	0.000448816973758796	0.00350407581875109	-0.142132055243248
ENDOV	-0.442549058735262	9.67787512839237	-3.99229331632433	0.000449761225544231	0.00350985326964217	-0.144119232125957
