gene	logFC	adj.P.Val	방향
FOSB	-6.752	0	↓Down
FOS	-6.021	0	↓Down
EGR1	-5.332	0	↓Down
NR4A1	-4.978	0	↓Down
RGS1	-4.959	0	↓Down
NR4A2	-4.765	0	↓Down
ATF3	-4.416	0	↓Down
MYH7	4.038	0.006	↑Up
NR4A3	-3.643	0	↓Down
ADIPOQ	3.516	0.047	↑Up
DUSP1	-3.438	0	↓Down
CCL3	-3.398	0.002	↓Down
MYBPC1	3.372	0.018	↑Up
ADAMTS4	-3.343	0.004	↓Down
EGR3	-3.316	0.003	↓Down
MIR3189	-3.213	0.001	↓Down
CIDEC	3.198	0.036	↑Up
MYL2	3.156	0.019	↑Up
DUSP2	-3.07	0	↓Down
EGR2	-3.061	0.005	↓Down
