gene,AUC_train,AUC_valid
FN1,0.9085365853658537,0.9154509283819628
CA2,0.9658536585365853,0.9124668435013262
ALDH2,0.9402439024390243,0.7844827586206897
TSPYL5,0.924390243902439,0.7314323607427056
VNN2,0.974390243902439,0.7095490716180372
CDKN1B,0.9670731707317073,0.6949602122015914
IFI44L,0.6268292682926829,0.6226790450928382
XAF1,0.7780487804878049,0.5948275862068966
CREB5,0.7634146341463415,0.513262599469496
SYTL2,0.7780487804878049,0.5039787798408488
