Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.3655273708460663	-1.347093337626934	0.13381995133819952	0.2583402489626556	0.882	5/14	19.17%	ATF3;IGFBP1;VEGFA;STC2;PSAT1
prerank	HALLMARK_SPERMATOGENESIS	-0.2808034273319687	-1.3051130081865385	0.15206185567010308	0.283298755186722	0.92	11/26	22.22%	GAD1;IL13RA2;SLC2A5;ACE;YBX2;MTNR1A;CCT6B;DDX25;HSPA4L;MEP1B;NEFH
prerank	HALLMARK_FATTY_ACID_METABOLISM	-0.21644721347114687	-1.2703886469177765	0.16137566137566137	0.3023858921161826	0.952	41/53	50.34%	CEL;CYP4A22;HPGD;CYP4A11;HMGCS2;FABP1;ACADM;REEP6;EHHADH;VNN1;FMO1;IDH1;ALAD;HAO2;TP53INP2;HIBCH;SUCLG1;AQP7;ALDH3A2;CA2;BPHL;D2HGDH;GABARAPL1;ACSM3;GPD1;ACADL;MAOA;AUH;HADH;ACO2;DLD;SUCLA2;ETFDH;EPHX1;ECI2;SLC22A5;AADAT;ACOT2;SUCLG2;ACOX1;ALDH9A1
prerank	HALLMARK_TGF_BETA_SIGNALING	-0.4156066536203522	-1.2616135853236847	0.203125	0.28913182253431213	0.961	8/8	58.54%	JUNB;KLF10;CDKN1C;PPP1R15A;TGFB1;PMEPA1;RAB31;IFNGR2
prerank	HALLMARK_APOPTOSIS	0.2317258503717844	1.2039914059502725	0.22135007849293564	0.35982349537037034	0.999	33/51	41.09%	CD2;TIMP1;PLCB2;CCND2;LUM;FASLG;TOP2A;TNFRSF12A;CD44;MMP2;IGFBP6;ISG20;ANXA1;CASP1;GNA15;IFITM3;PRF1;CD38;DCN;HGF;CLU;GPX1;CASP4;CD14;ENO2;BIRC3;FEZ1;TSPO;CDC25B;PEA15;BAX;EMP1;TIMP2
prerank	HALLMARK_MYOGENESIS	0.21932914219849958	1.1817795481235878	0.25306748466257667	0.3694764254385965	1.0	30/60	37.55%	COL1A1;COL6A3;CFD;COL3A1;MYH7;LSP1;TNNI2;TNNT3;SPHK1;ADAM12;AEBP1;COL15A1;RYR1;DES;PTGIS;CD36;FST;LAMA2;CLU;FHL1;COL4A2;HSPB2;TAGLN;ANKRD2;PYGM;FXYD1;NCAM1;SSPN;MRAS;IGFBP7
prerank	HALLMARK_DNA_REPAIR	0.3680861478218306	1.111222681275126	0.3298429319371728	0.4524934895833333	1.0	10/10	63.28%	HCLS1;CCNO;PDE6G;ADA;IMPDH2;TP53;RBX1;POLD3;CDA;UPF3B
prerank	HALLMARK_ESTROGEN_RESPONSE_LATE	0.18940610257960705	1.0839317341852746	0.33827893175074186	0.4733506944444445	1.0	26/75	25.10%	LTF;SERPINA3;BATF;TPSAB1;LAMC2;MDK;SFN;RET;TOP2A;GINS2;CD44;KIF20A;ISG20;OLFM1;TFF3;AGR2;XBP1;PTGES;TFPI2;MYOF;CDC20;SCUBE2;TPBG;CLIC3;CDC6;CPE
prerank	HALLMARK_UV_RESPONSE_DN	0.20195346831942937	0.9953599390972836	0.46037099494097805	0.5924479166666667	1.0	9/40	16.48%	HAS2;COL1A1;COL3A1;COL1A2;RUNX1;LPAR1;RGS4;ANXA2;FHL2
prerank	HALLMARK_MYC_TARGETS_V2	-0.3227095256334962	-0.9828398614434989	0.44789356984478934	0.7568612922347362	1.0	3/8	18.38%	DUSP2;HSPE1;SORD
