ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	12	-0.536038764385221	-1.88172093093528	0.0102735455357075	0.0437848726402771	0.0154345584459866	1545	tags=100%, list=47%, signal=54%	ALDH1B1/ACADM/HIBCH/ECHS1/ALDH2/ALDH3A2/DPYS/ABAT/EHHADH/CNDP1/UPB1/GAD1	0.380730400722792
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM	12	-0.528770442156269	-1.8562060708548	0.0113302421117494	0.0467076344230896	0.0164648580641021	1569	tags=100%, list=47%, signal=53%	ME1/ALDH1B1/ALDH2/GRHPR/ALDH3A2/HAGH/PC/LDHD/PKLR/PCK1/ACOT12/PCK2	0.380730400722792
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	21	0.485320311010509	1.83460739034671	0.00668087575752123	0.0306635066819564	0.0108091598194166	1386	tags=81%, list=42%, signal=47%	LAMC2/E2F2/PIK3R5/BIRC3/PIK3CG/MYC/FN1/COL4A1/CDKN2B/LAMA2/COL4A2/TRAF1/LAMA3/PIK3CD/LAMA4/E2F1/TRAF5	0.407017918923954
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	10	-0.535714285714286	-1.78661192476126	0.0230244142079992	0.0849781851987275	0.0299555688298864	1545	tags=100%, list=47%, signal=54%	ALDH1B1/ACADM/HIBCH/ECHS1/ALDH2/ALDH3A2/SUCLG1/ABAT/EHHADH/ALDH6A1	0.352487857583619
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION	13	-0.464915499572253	-1.77100037883133	0.0306978082996152	0.103677503502474	0.0365472454491256	271	tags=46%, list=8%, signal=43%	CAMK2B/CAMK2A/GRM1/GRIA2/CHP2/CALML3	0.352487857583619
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	19	-0.394109042289091	-1.75400801566831	0.0210243407373348	0.0800714253613391	0.0282258921876178	1555	tags=84%, list=47%, signal=45%	ACADS/ALDH1B1/ACADM/ECI1/ECHS1/ALDH2/HADH/ALDH3A2/ACSL6/ACADSB/GCDH/EHHADH/ACAA1/ADH6/CYP4A11/CYP4A22	0.352487857583619
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY	15	0.512774242966668	1.74450163719962	0.00948040869764055	0.0413900769970161	0.0145903716048878	429	tags=47%, list=13%, signal=41%	PLA2G2D/RAC2/PRKCB/PIK3R5/SH2D2A/PIK3CG/SPHK1	0.380730400722792
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	12	0.552039937873332	1.74177412661709	0.0147549907680066	0.0586920743882927	0.0206894801294679	541	tags=58%, list=16%, signal=49%	HLA-DPB1/CD28/CD86/GZMB/FASLG/IL1B/PRF1	0.380730400722792
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	21	0.453999893308883	1.71620997634912	0.0151733540867822	0.0590441387290005	0.0208135859522265	1295	tags=76%, list=39%, signal=47%	E2F2/PTTG1/SFN/BUB1/MYC/CCND2/CDC7/CDC6/PKMYT1/CDKN2B/CDKN1A/TGFB1/TGFB2/YWHAH/CDC25B/E2F1	0.380730400722792
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	11	0.559222174762062	1.69844412518175	0.0114812062269047	0.0467076344230896	0.0164648580641021	769	tags=64%, list=23%, signal=49%	PIK3R5/RUNX1/PIK3CG/MYC/FLT3/SPI1/PIM2	0.380730400722792
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	17	-0.406578125661752	-1.67635073396223	0.0299121476390921	0.10296681591149	0.0362967217294383	1108	tags=65%, list=33%, signal=43%	ALDH4A1/ABAT/AGXT2/GLUD2/ASPA/GPT2/ASS1/ACY3/GPT/GAD1/AGXT	0.352487857583619
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	8	-0.535390199637024	-1.66772730088531	0.0330180494939245	0.10944871961875	0.0385816506461647	1545	tags=100%, list=47%, signal=54%	ALDH1B1/ALDH2/ALDH3A2/UGT1A4/UGT1A3/UGT1A1/UGT1A5/MIOX	0.321775918075361
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	16	0.477140069413304	1.65912743785831	0.0255803736744144	0.0915777377544035	0.0322819700158576	1476	tags=88%, list=45%, signal=49%	RAC2/PIK3R5/PIK3CG/FOS/MYC/BIRC5/JUN/PIK3CD/TGFB1/TGFB2/AXIN2/TCF7/LEF1/TGFB3	0.352487857583619
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	12	0.525697789929378	1.65866044483339	0.0232621847750707	0.0849781851987275	0.0299555688298864	1295	tags=83%, list=39%, signal=51%	E2F2/PIK3R5/RUNX1/PIK3CG/MYC/CDKN1A/PIK3CD/TGFB1/TGFB2/E2F1	0.352487857583619
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION	10	-0.49364406779661	-1.64630737247775	0.0534802283178265	0.162253574048999	0.0571958331888762	1684	tags=100%, list=51%, signal=49%	SETD7/ALDH1B1/OGDHL/ECHS1/ALDH2/HADH/ALDH3A2/GCDH/EHHADH/PIPOX	0.321775918075361
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	18	-0.378562610570381	-1.62146465203745	0.0448591760011305	0.143389151860757	0.0505459559765727	1555	tags=89%, list=47%, signal=47%	ACADS/ALDH1B1/IVD/ACADM/HIBCH/ECHS1/ALDH2/HADH/ALDH3A2/ABAT/ACADSB/EHHADH/ACAA1/AOX1/ALDH6A1/HMGCS2	0.321775918075361
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	20	0.424337531160402	1.60061914290001	0.0460624071322437	0.144652120643362	0.0509911637461768	1744	tags=95%, list=53%, signal=45%	TUBB3/TUBB/HCLS1/WAS/TUBA1A/CLDN1/ARPC1B/LY96/CD14/TUBA1B/ACTG1/ITGB1/ARHGEF2/TUBB6/TLR4/KRT18/ARPC5/ARPC2/ACTB	0.257206466468838
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	13	-0.418580513613462	-1.59449673943522	0.0674648068794492	0.197970498875761	0.0697863680130532	1258	tags=77%, list=38%, signal=48%	CES2/NAT1/UGT1A4/DPYS/UGT1A3/UGT1A1/UGT1A5/CYP3A4/CYP3A7/UPB1	0.287805130535564
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	14	-0.416849437112913	-1.59218575209262	0.0428916349871323	0.139592775685394	0.0492076994868717	1555	tags=93%, list=47%, signal=49%	ACADS/ALDH1B1/ALDH5A1/ECHS1/ACSM3/ALDH2/HADH/ALDH3A2/L2HGDH/ABAT/EHHADH/HMGCS2/GAD1	0.321775918075361
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	4	-0.705570720926484	-1.57937997541893	0.0263186805015281	0.092373408034775	0.0325624508921416	533	tags=75%, list=16%, signal=63%	SOAT2/CYP27B1/CEL	0.352487857583619
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	7	-0.536437859086786	-1.57567357078232	0.0704960835509138	0.203529015413122	0.0717457947098884	1541	tags=100%, list=46%, signal=54%	ACO2/OGDHL/IDH1/SUCLG1/PC/PCK1/PCK2	0.276500599254472
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	58	0.306973551755101	1.5132578157785	0.0533854166666667	0.162253574048999	0.0571958331888762	711	tags=33%, list=21%, signal=26%	ITGAD/RAC2/ITGB6/ITGAX/VAV1/ITGAL/NCKAP1L/PIK3R5/PIK3CG/ITGA4/ITGB2/IQGAP3/FGF7/ITGAM/WAS/FN1/TMSB4X/ARPC1B/ITGB3	0.222056046145248
KEGG_RIBOSOME	KEGG_RIBOSOME	11	0.495004541326067	1.50340525303966	0.0772946859903382	0.218292682926829	0.0769501192945353	1679	tags=100%, list=51%, signal=50%	RPS8/RPS4X/RPS12/RPS19/RPL28/RPS2/RPS24/RPS6/RPL11/RPL6/RPLP2	0.204294756516886
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	12	-0.425650575172587	-1.49421207901915	0.0894308943089431	0.238927314646281	0.0842240111681481	460	tags=50%, list=14%, signal=43%	PLCZ1/ESPL1/CAMK2B/CAMK2A/CHP2/CALML3	0.248911114434702
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	9	0.513792389120365	1.49044713654589	0.0666666666666667	0.197970498875761	0.0697863680130532	390	tags=44%, list=12%, signal=39%	PRKCB/PIK3R5/PIK3CG/SFN	0.222056046145248
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	8	-0.47434408668523	-1.47757016081876	0.10126582278481	0.251758087201125	0.0887469730260463	1261	tags=88%, list=38%, signal=54%	ATP6V0E2/COX4I2/LHPP/ATP6V1C2/ATP6V1B1/ATP6V1G3/ATP6V0D2	0.224966093540314
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	9	0.505368678445232	1.46601101074742	0.0780487804878049	0.218292682926829	0.0769501192945353	256	tags=33%, list=8%, signal=31%	UBE2C/SOCS3/BIRC3	0.204294756516886
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	9	0.503569010564495	1.46079040044571	0.0829268292682927	0.228367729831144	0.0805016632619754	1282	tags=78%, list=39%, signal=48%	PIK3R5/PIK3CG/BUB1/ADCY7/PKMYT1/PIK3CD/CDC25B	0.197822021315103
KEGG_APOPTOSIS	KEGG_APOPTOSIS	14	0.436600605733878	1.45803697414635	0.088646967340591	0.238927314646281	0.0842240111681481	454	tags=43%, list=14%, signal=37%	PIK3R5/BIRC3/CSF2RB/PIK3CG/FASLG/IL1B	0.186432558434075
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM	13	-0.379099743250512	-1.44410283057723	0.0997375328083989	0.251758087201125	0.0887469730260463	1179	tags=77%, list=36%, signal=50%	MAOB/DCT/ALDH3B1/FAH/TYRP1/AOX1/DDC/ADH6/DBH/HPD	0.231126709673834
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM	4	-0.638308180241828	-1.42881659927196	0.0958904109589041	0.248759182052809	0.0876898321919064	669	tags=75%, list=20%, signal=60%	AHCY/GGT6/CTH	0.219250346703755
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	8	-0.457350272232305	-1.42463484685796	0.116455696202532	0.275333580429948	0.0970575448329516	1803	tags=100%, list=54%, signal=46%	GSTP1/GPX7/GGT5/OPLAH/IDH1/GGT6/GSTA1/GSTA2	0.208955027549354
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	14	-0.371901310057884	-1.42050321852384	0.100278551532033	0.251758087201125	0.0887469730260463	1262	tags=79%, list=38%, signal=49%	ALDH2/MAOB/ALDH3A2/ALDH3B1/AMDHD1/ASPA/DDC/AOC1/FTCD/ACY3/CNDP1	0.237793834423688
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	30	0.333689757971048	1.4056001245958	0.116901408450704	0.275333580429948	0.0970575448329516	1170	tags=63%, list=35%, signal=41%	FGA/C3/C1S/VWF/C1QC/C1QA/C1QB/C1R/C3AR1/PLAUR/SERPINE1/CFH/SERPING1/F13A1/CFD/A2M/C6/C5AR1/C7	0.152144922367565
KEGG_LYSOSOME	KEGG_LYSOSOME	14	0.418961279920916	1.39913007182751	0.127527216174184	0.292658611476652	0.103164772926677	243	tags=29%, list=7%, signal=27%	LAMP3/CTSG/CTSS/LAPTM5	0.153158808683073
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	14	0.415559285523472	1.38776903945107	0.130637636080871	0.296001732385771	0.1043432528891	1332	tags=71%, list=40%, signal=43%	THBS2/INHBA/COMP/GDF5/MYC/CDKN2B/FST/TGFB1/TGFB2/DCN	0.151148761385484
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	12	0.439044427994903	1.38525525537681	0.107424960505529	0.259852269330942	0.0916002444785297	1485	tags=83%, list=45%, signal=46%	PIK3R5/PIK3CG/JUN/HGF/PIK3CD/TGFB1/TGFB2/MET/TGFB3/ETS1	0.169570644405628
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	9	-0.43508631765924	-1.37535234341555	0.142118863049096	0.313603572655445	0.110548058704825	606	tags=56%, list=18%, signal=46%	FBP1/ALDOB/KHK/SORD/PFKFB1	0.190023305279108
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER	9	0.473215456739166	1.37273855627495	0.141463414634146	0.313603572655445	0.110548058704825	663	tags=56%, list=20%, signal=45%	PRKCB/E2F2/PIK3R5/PIK3CG/RASSF5	0.148261500475107
