file,gsm,group,chip
GSM2810645_H1-Glom-DN1.CEL.gz,GSM2810645,DKD,712
GSM2810646_H1-Glom-DN10.CEL.gz,GSM2810646,DKD,712
GSM2810647_H1-Glom-DN2.CEL.gz,GSM2810647,DKD,712
GSM2810648_H1-Glom-DN5.CEL.gz,GSM2810648,DKD,712
GSM2810649_H1-Glom-DN8.CEL.gz,GSM2810649,DKD,712
GSM2810714_H5-Glom-LD_478.CEL.gz,GSM2810714,Control,712
GSM2810715_H5-Glom-LD_479.CEL.gz,GSM2810715,Control,712
GSM2810716_H5-Glom-LD_482.CEL.gz,GSM2810716,Control,712
GSM2810770_H7-Glom-DN901.CEL.gz,GSM2810770,DKD,1164
GSM2810771_H7-Glom-DN910.CEL.gz,GSM2810771,DKD,1164
GSM2810772_H7-Glom-DN914.CEL.gz,GSM2810772,DKD,1164
GSM2810773_H7-Glom-DN916.CEL.gz,GSM2810773,DKD,1164
GSM2810774_H7-Glom-DN932.CEL.gz,GSM2810774,DKD,1164
GSM2810775_H7-Glom-DN941.CEL.gz,GSM2810775,DKD,1164
GSM2810776_H7-Glom-DN947.CEL.gz,GSM2810776,DKD,1164
GSM2810793_H7-Glom-LD_974.CEL.gz,GSM2810793,Control,1164
GSM2810794_H7-Glom-LD_975.CEL.gz,GSM2810794,Control,1164
GSM2810795_H7-Glom-LD_976.CEL.gz,GSM2810795,Control,1164
GSM2810796_H7-Glom-LD_978.CEL.gz,GSM2810796,Control,1164
GSM2810797_H7-Glom-LD_979.CEL.gz,GSM2810797,Control,1164
GSM2810798_H7-Glom-LD_980.CEL.gz,GSM2810798,Control,1164
GSM2810799_H7-Glom-LD_981.CEL.gz,GSM2810799,Control,1164
GSM2810800_H7-Glom-LD_982.CEL.gz,GSM2810800,Control,1164
GSM2810801_H7-Glom-LD_983.CEL.gz,GSM2810801,Control,1164
GSM2810802_H7-Glom-LD_984.CEL.gz,GSM2810802,Control,1164
GSM2810803_H7-Glom-LD_985.CEL.gz,GSM2810803,Control,1164
GSM2810804_H7-Glom-LD_987.CEL.gz,GSM2810804,Control,1164
GSM2810805_H7-Glom-LD_988.CEL.gz,GSM2810805,Control,1164
GSM2810806_H7-Glom-LD_989.CEL.gz,GSM2810806,Control,1164
GSM2810807_H7-Glom-LD_990.CEL.gz,GSM2810807,Control,1164
GSM2810808_H7-Glom-LD_992.CEL.gz,GSM2810808,Control,1164
GSM2810809_H7-Glom-LD_993.CEL.gz,GSM2810809,Control,1164
GSM2810810_H7-Glom-LD_994.CEL.gz,GSM2810810,Control,1164
