"branch","cand","feat","LASSO","SVM","inter","FN1","ALDH2"
"A(재현,63∩MR)",63,45,12,45,12,TRUE,TRUE
"B(탐색,DEG전체)",4323,2050,35,8,1,FALSE,FALSE
