id	logFC	AveExpr	t	P.Value	adj.P.Val	B
CNKSR2	0.978230147551725	5.53069401889116	3.06891474729538	0.00452200888741176	0.0110425182210152	-2.53969802514953
FCN3	-1.27715613840726	8.92533576547184	-3.06824963225676	0.00452965166375729	0.0110596098593358	-2.5412728365728
APBB1IP	0.78982655395753	9.8512079868986	3.06715915730815	0.00454220879850101	0.0110886938476263	-2.54385440490108
ARHGAP24	-0.23853610817382	12.9297344309429	-3.06708984936169	0.00454300801739383	0.0110890695697295	-2.54401846718592
PSRC1	0.426787756987268	7.62807557525612	3.06592875248819	0.00455641701203909	0.011120220129936	-2.54676667377423
ASAP1	0.341696299931682	11.4281897120245	3.06567086617557	0.00455940033044833	0.0111259209426902	-2.54737699366064
DNAJA2	-0.227759059913771	11.215194397345	-3.0645823571593	0.00457201305783916	0.0111551146366475	-2.54995279390398
FBXO10	0.211052732133224	10.2430458631581	3.06448655186333	0.00457312475611166	0.0111562430166131	-2.55017948083208
MTMR9LP	0.434205250203085	10.2293061009279	3.06406091164032	0.00457806687623422	0.0111665796103646	-2.551186553012
ZNF227	0.188406518168012	9.92287868556475	3.06400972550128	0.00457866154181967	0.0111665796103646	-2.55130765545669
FER1L4	1.05552155152283	9.36037370531319	3.06385644525072	0.00458044274621039	0.0111693384633006	-2.55167029843941
IGIP	-0.204305724144493	9.69380404496124	-3.06358785518957	0.00458356550550458	0.011175367429993	-2.55230572829584
UBE3C	0.130573642648386	12.3364897634798	3.06329594638486	0.00458696167527449	0.0111820612041306	-2.55299629305543
GGCT	-0.374456463466045	9.23224451996862	-3.0626525263274	0.00459445590112591	0.0111987418730422	-2.55451830358478
RHOQ	-0.195094980766868	10.7999932459278	-3.06238411033705	0.00459758571233573	0.0112047812907073	-2.55515319307451
SASS6	-0.291358660159827	6.9543882543784	-3.0621668418207	0.00460012061293408	0.0112091309144701	-2.55566708146322
HMGN3	-0.356765310450044	9.8925770732892	-3.06211933431373	0.00460067506632668	0.0112091309144701	-2.55577944478523
BCO1	-0.451260216839995	8.06114993658126	-3.06159107905189	0.00460684454123327	0.0112225711081022	-2.55702879764686
POU3F4	0.962517973834155	5.60879501946289	3.06147569222923	0.00460819318618236	0.0112242653028147	-2.5573016790675
OTUD7A	-0.263472091766161	9.19684983267391	-3.06109871378947	0.00461260193926927	0.0112334115255673	-2.55819316862401
NPM2	0.467241340402012	7.7845951931338	3.0610382276551	0.00461330969624348	0.0112335431231753	-2.55833620272048
SET	0.197122349612501	12.7830243129359	3.06088031354213	0.0046151579586764	0.0112364514539381	-2.55870962197098
LINC00673	1.02092149885398	5.58771962443484	3.0605796669056	0.00461867874085585	0.0112434304409785	-2.5594205331288
TMPRSS4	0.713357015110057	10.7554734773697	3.06040200755817	0.00462076045601026	0.011246904769983	-2.55984061074559
ANXA9	-0.325545366551115	10.8596258683741	-3.05998302523047	0.00462567339471016	0.0112556833004076	-2.56083124957484
CSMD3	-1.65005555517248	4.33883860070202	-3.0599827084996	0.00462567711053762	0.0112556833004076	-2.56083199842458
PROX2	0.268819624582134	8.43261945360375	3.05958444909518	0.00463035166117853	0.0112654626852176	-2.56177357520192
SPATA7	-0.346386571762515	9.25118342493471	-3.05936504787524	0.00463292879046686	0.0112701370803203	-2.56229226310305
ADCK2	0.212305072124165	9.94356236542228	3.05905061966329	0.00463662450254821	0.01127753084951	-2.5630355714879
TMEM68	-0.221829485664676	8.89878370268352	-3.05870625466926	0.00464067529947428	0.0112857860665392	-2.56384960519133
RBCK1	0.261547800401086	12.0797735331242	3.05860883212544	0.00464182190009927	0.0112869771517342	-2.56407989072922
DHX33	0.178921813490934	10.3760593239839	3.05846125040362	0.00464355935492577	0.011289604407901	-2.5644287343557
INTS6L	0.333009223712502	9.46586533258513	3.05834241144435	0.00464495887532665	0.0112914094374895	-2.56470963148057
CCAR1	-0.24118819834386	11.4319210107026	-3.05810753863837	0.00464772606076149	0.0112965381369343	-2.56526477876983
TBC1D7-LOC100130357	-0.56043415882578	7.52643741852792	-3.05797412811641	0.00464929855244138	0.0112987620315589	-2.56558009916904
P2RX1	0.754102596223484	7.54301458916336	3.05759142567722	0.00465381222058302	0.0113081319568013	-2.56648459024858
POLD2	0.326560630535631	11.4544575093962	3.05727208903609	0.00465758172745239	0.0113145668746561	-2.56723927584284
RASGEF1A	0.469477668960493	7.56589552320386	3.05725552299085	0.00465777735517443	0.0113145668746561	-2.56727842512712
PRAG1	0.39725408027704	10.742565728642	3.05718413990444	0.00465862040433524	0.011315015268989	-2.56744711813372
MKLN1	-0.19442209494578	12.5677157640668	-3.05701606951704	0.00466060592350618	0.0113182380143485	-2.56784429520749
GALK1	-0.520219368953123	10.534661567425	-3.05692208563661	0.0046617165636845	0.0113193355136858	-2.56806638915663
SLC5A9	-0.467440692597798	11.3257917814264	-3.05613475358677	0.00467103062614129	0.0113403490081396	-2.56992680031163
STRADB	-0.493508302093616	11.5795581748494	-3.05556665249533	0.00467776219000806	0.0113550876498232	-2.57126903004491
PNPLA7	-0.653756351586601	10.5327534884016	-3.05540764528729	0.00467964795477763	0.0113580607987145	-2.57164468691229
PRR29	0.45438615011696	7.22713648131291	3.05508831281756	0.00468343729870514	0.0113648567986995	-2.57239908403527
RBM4B	0.153631717712063	9.86616023111808	3.05506022776812	0.00468377070812326	0.0113648567986995	-2.57246543074168
HADHA	-0.183635741134294	13.5476477376526	-3.05487275132838	0.00468599689762538	0.0113686532103338	-2.57290830756166
SAP130	-0.266825361913142	10.8929675694498	-3.05400262320651	0.00469634240759945	0.0113921439768759	-2.57496363288611
CHST10	0.250007154207442	8.63396531210794	3.05374019017895	0.00469946689997423	0.0113981142144188	-2.57558346518587
FNIP1	-0.152252465899057	11.4782166089327	-3.05296222907364	0.00470874081273837	0.0114170618433018	-2.57742074504209
MNAT1	-0.288108538091883	9.2770598205789	-3.05296001766478	0.00470876719925611	0.0114170618433018	-2.57742596729327
MEDAG	0.792408632524181	6.47336246398723	3.0529176924902	0.00470927225007701	0.0114170618433018	-2.577525917991
GRAMD1A	0.386145825328475	11.445881838118	3.05281653121916	0.00471047957907231	0.0114183231416695	-2.57776480694373
UGT1A5	-0.663001490133967	9.48586099139076	-3.05271715707921	0.00471166586559177	0.0114183231416695	-2.57799947165653
