"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.8806813626075,0.684,0.169,0,"0","ACOT13"
0,4.00293908542763,0.574,0.06,0,"0","GIPC2"
0,3.2985953037933,0.609,0.097,0,"0","PTH1R"
0,1.66333658385208,0.841,0.329,0,"0","SELENOP"
0,4.17669899590601,0.559,0.048,0,"0","MME"
0,4.572746777828,0.565,0.056,0,"0","DPEP1"
0,3.78409342093298,0.577,0.068,0,"0","MAOA"
0,5.12191875769432,0.531,0.023,0,"0","ASPDH"
0,2.57264147002415,0.801,0.294,0,"0","GLRX"
0,4.2473589984594,0.552,0.046,0,"0","HGD"
0,2.50396955977292,0.65,0.146,0,"0","IMPA2"
0,3.59898928058863,0.575,0.071,0,"0","KCNJ15"
0,3.46865355167856,0.574,0.071,0,"0","ECHDC3"
0,5.20950101452444,0.519,0.021,0,"0","TMEM174"
0,3.55188574669928,0.587,0.09,0,"0","LRP2"
0,2.89155229422344,0.678,0.182,0,"0","ACADM"
0,3.18099046868505,0.652,0.156,0,"0","HAGH"
0,3.39185000133123,0.596,0.102,0,"0","GCHFR"
0,3.7827506613588,0.569,0.078,0,"0","MSRB1"
0,3.74704487625393,0.578,0.088,0,"0","DHRS4"
0,2.38502172500287,0.665,0.176,0,"0","CAMK2N1"
0,2.4568837090929,0.705,0.217,0,"0","PRDX3"
0,4.86037043290548,0.993,0.505,0,"0","MT1G"
0,2.7986579693807,0.769,0.282,0,"0","ATOX1"
0,4.80295066850432,0.515,0.03,0,"0","PIPOX"
0,3.5929986732128,0.569,0.084,0,"0","CALML4"
0,4.54752420135271,0.519,0.036,0,"0","SLC5A12"
0,5.10141096169186,0.516,0.033,0,"0","PRODH2"
0,1.96538733518433,0.792,0.312,0,"0","SPP1"
0,2.0942494749609,0.811,0.332,0,"0","CHCHD10"
0,3.9179516790828,0.521,0.045,0,"0","SLC13A1"
0,2.33773720445641,0.839,0.363,0,"0","NDUFC1"
0,2.50635566348666,0.729,0.254,0,"0","ECH1"
0,2.59939065854332,0.706,0.234,0,"0","MDH1"
0,3.5891371235151,0.525,0.054,0,"0","ACSM2A"
0,3.2336709672105,0.578,0.107,0,"0","RNF152"
0,3.75492955464374,0.533,0.064,0,"0","ABAT"
0,2.58233765036743,0.793,0.324,0,"0","DDT"
0,3.29243969646707,0.567,0.098,0,"0","FAHD1"
0,4.26087911456269,0.511,0.043,0,"0","FTCD"
0,4.93888819053283,0.498,0.03,0,"0","SLC22A6"
0,4.33027330473336,0.51,0.043,0,"0","ACY3"
0,3.27245015368855,0.563,0.097,0,"0","GAMT"
0,4.67379706858907,0.5,0.034,0,"0","SLC13A3"
0,4.10718979834949,0.508,0.043,0,"0","RGN"
0,3.13089943251911,0.571,0.107,0,"0","ALDH7A1"
0,2.50062231986337,0.713,0.249,0,"0","TXNDC17"
0,2.95161707272738,0.584,0.121,0,"0","MTHFS"
0,2.56791784732174,0.649,0.188,0,"0","PHYH"
0,5.28981902433341,0.485,0.024,0,"0","CTXN3"
0,2.88752349764301,0.939,0.478,0,"0","TXN"
0,3.21170742647781,0.543,0.083,0,"0","NPR3"
0,1.79974170590698,0.874,0.414,0,"0","CRYAB"
0,2.05052585541227,0.985,0.526,0,"0","FXYD2"
0,3.24897377767369,0.544,0.086,0,"0","AMACR"
0,4.04446731021582,0.502,0.044,0,"0","ALDH1L1"
0,2.54432118191552,0.684,0.227,0,"0","CNDP2"
0,4.41486991933023,0.495,0.039,0,"0","SLC27A2"
0,2.54209433032678,0.604,0.148,0,"0","PCSK1N"
0,3.2822244197863,0.555,0.1,0,"0","HADH"
0,4.54301585268614,0.489,0.035,0,"0","SLC22A12"
0,5.4338987642431,0.493,0.041,0,"0","ALB"
0,3.2811480741162,0.541,0.09,0,"0","AIFM1"
0,4.80752298609137,0.474,0.025,0,"0","ANGPTL3"
0,0.989705531751761,0.613,0.164,0,"0","AQP1"
0,1.77217599008076,0.781,0.334,0,"0","CYSTM1"
0,2.48152421364243,0.856,0.41,0,"0","UQCRQ"
0,2.34411324043041,0.675,0.231,0,"0","SLC9A3R1"
0,3.98907813303773,0.5,0.056,0,"0","ALDH4A1"
0,3.19938145717753,0.532,0.089,0,"0","HMGCL"
0,4.06626534524312,0.487,0.045,0,"0","S100A1"
0,2.87975086721137,0.575,0.133,0,"0","TPMT"
0,3.607765741608,0.505,0.064,0,"0","SLC16A4"
0,2.28352199567971,0.7,0.259,0,"0","PLAAT3"
0,3.06518381397642,0.534,0.094,0,"0","DDAH1"
0,4.04081916950762,0.506,0.066,0,"0","SLC7A8"
0,3.7825396394759,0.495,0.056,0,"0","AMN"
0,2.6572111442026,0.624,0.186,0,"0","TMEM256"
0,2.5903123746147,0.635,0.198,0,"0","CAT"
0,4.75448599824024,0.467,0.031,0,"0","SLC22A8"
0,4.31243124253419,0.467,0.032,0,"0","ALDH8A1"
0,2.10361764572986,0.783,0.351,0,"0","MPC2"
0,2.86393346086806,0.536,0.104,0,"0","MORN2"
0,3.4673630825279,0.518,0.086,0,"0","FUOM"
0,2.23092237823494,0.748,0.316,0,"0","SCP2"
0,5.01537159502108,0.456,0.025,0,"0","CRYM"
0,2.89575555026556,0.563,0.132,0,"0","ALDH3A2"
0,3.94060823011788,0.483,0.055,0,"0","SLC4A4"
0,3.14904805874906,0.503,0.075,0,"0","EPHX2"
0,3.06661011490374,0.535,0.111,0,"0","MPST"
0,3.86090177275672,0.507,0.083,0,"0","ZGPAT"
0,5.85229857742872,0.436,0.013,0,"0","AL138826.1"
0,4.11928202083888,0.464,0.042,0,"0","FAH"
0,1.97694227370475,0.69,0.268,0,"0","NDUFB3"
0,3.06530333025653,0.519,0.098,0,"0","GK"
0,2.65684459411403,0.544,0.124,0,"0","GALM"
0,1.24506005715065,0.747,0.327,0,"0","ADIRF"
0,3.54849741555513,0.494,0.075,0,"0","AHCY"
0,2.88378312350879,0.524,0.106,0,"0","CRYZ"
0,3.28156520167546,0.489,0.071,0,"0","ACADSB"
0,2.22878083393955,0.652,0.235,0,"0","ADH5"
0,2.48653984200039,0.597,0.18,0,"0","ETFA"
0,2.4092716243593,0.559,0.143,0,"0","CISD1"
0,2.1781206641568,0.648,0.233,0,"0","SDHD"
0,2.1107190630071,0.564,0.149,0,"0","ALDH1A1"
0,3.77377277239146,0.459,0.045,0,"0","USH1C"
0,2.10931351797144,0.827,0.413,0,"0","ATP5MD"
0,2.20596793842804,0.593,0.179,0,"0","COA3"
0,2.35693849208804,0.941,0.527,0,"0","LDHB"
0,4.44039325520045,0.447,0.034,0,"0","TRIM6"
0,4.41011465191545,0.445,0.032,0,"0","HSD17B14"
0,5.03134645661737,0.431,0.018,0,"0","DAO"
0,2.34849344385451,0.601,0.189,0,"0","SDHC"
0,2.08290983322744,0.503,0.093,0,"0","CLDN10"
0,2.37188688755296,0.584,0.174,0,"0","ECI1"
0,3.81078367476181,0.455,0.046,0,"0","ENPEP"
0,2.5974870121375,0.559,0.15,0,"0","MSRB2"
0,2.37270186695379,0.565,0.156,0,"0","HINT2"
0,3.34176254689277,0.486,0.078,0,"0","SCRN2"
0,2.80166987921276,0.524,0.117,0,"0","MTCH2"
0,3.46917232729071,0.462,0.055,0,"0","FOLR1"
0,1.92565851377609,0.696,0.289,0,"0","CLIC4"
0,3.08547582970358,0.503,0.097,0,"0","ACO1"
0,2.60404863347913,0.525,0.121,0,"0","LYPLAL1"
0,4.55342860815182,0.434,0.03,0,"0","AOX1"
0,3.82482873361369,0.469,0.065,0,"0","SLC7A7"
0,2.63547964005038,0.541,0.139,0,"0","SH3YL1"
0,2.2228767986388,0.629,0.227,0,"0","MRPS36"
0,2.19825283614297,0.625,0.224,0,"0","MRPL34"
0,2.08058732718757,0.76,0.361,0,"0","GHITM"
0,3.86708551394308,0.448,0.049,0,"0","WDR72"
0,1.83604722527216,0.673,0.274,0,"0","ATP5MC1"
0,2.27111572514315,0.629,0.232,0,"0","CTSH"
0,2.34638891026149,0.596,0.199,0,"0","SDHB"
0,4.25093108505379,0.424,0.027,0,"0","SMIM32"
0,2.07109658218592,0.706,0.309,0,"0","CFDP1"
0,2.06743774052867,0.88,0.485,0,"0","ATP5MC3"
0,1.95034294800936,0.674,0.279,0,"0","NDUFS8"
0,2.26861455226134,0.586,0.191,0,"0","SUCLG2"
0,2.8517087401124,0.494,0.101,0,"0","LACTB2"
0,1.97109274276208,0.626,0.233,0,"0","SEPHS2"
0,4.13072131789781,0.432,0.04,0,"0","AOC1"
0,3.55355429454373,0.436,0.048,0,"0","AP1M2"
0,3.48224025655013,0.437,0.05,0,"0","MACROD1"
0,3.80667749365783,0.433,0.046,0,"0","ACSF2"
0,1.88886185839196,0.776,0.389,0,"0","ATP5F1A"
0,4.88816061534794,0.408,0.021,0,"0","SLC6A19"
0,2.07246036025523,0.69,0.303,0,"0","ZNHIT1"
0,2.04031345040541,0.674,0.288,0,"0","COX14"
0,1.95680009036389,0.787,0.401,0,"0","ATP5MF"
0,3.93800942093312,0.423,0.038,0,"0","TINAG"
0,3.68101815441249,0.432,0.049,0,"0","CHDH"
0,5.0789721960762,0.399,0.016,0,"0","LINC01510"
0,2.23639677155977,0.543,0.16,0,"0","CISD3"
0,2.03593224197038,0.789,0.407,0,"0","ATP5MPL"
0,2.1636629080451,0.596,0.214,0,"0","DECR1"
0,2.06137255578798,0.674,0.293,0,"0","LSM3"
0,1.99526759891241,0.669,0.288,0,"0","NDUFAB1"
0,1.46307517376139,0.755,0.374,0,"0","ATP1B1"
0,1.86916401200664,0.739,0.358,0,"0","NDUFA3"
0,1.9348363760254,0.75,0.37,0,"0","NDUFA2"
0,2.84127474363049,0.451,0.071,0,"0","SLC22A2"
0,1.88204415885112,0.75,0.37,0,"0","ATP5F1C"
0,1.78899578494379,0.775,0.395,0,"0","PRDX2"
0,2.14136638252865,0.578,0.198,0,"0","BLVRB"
0,1.96879935787725,0.674,0.295,0,"0","MRPL57"
0,1.72410402909405,0.629,0.25,0,"0","TSTD1"
0,1.9596205110745,0.818,0.439,0,"0","NDUFB1"
0,2.29992562760902,0.474,0.096,0,"0","TSPAN1"
0,4.51030823214178,0.41,0.032,0,"0","CAPN3"
0,1.99819748873887,0.86,0.482,0,"0","ATP5PF"
0,2.17389903075105,0.799,0.422,0,"0","RPS27L"
0,2.13467275689672,0.86,0.483,0,"0","ATP5IF1"
0,2.40150971982887,0.531,0.154,0,"0","ECHDC2"
0,5.50529004996802,0.396,0.019,0,"0","AGXT"
0,3.73538828836228,0.426,0.049,0,"0","GGH"
0,2.1810538627279,0.541,0.165,0,"0","SERPINA1"
0,2.58256250854385,0.501,0.128,0,"0","ACO2"
0,4.5767251886262,0.394,0.022,0,"0","A1CF"
0,1.98634095316183,0.673,0.302,0,"0","SLIRP"
0,1.8691908614524,0.795,0.424,0,"0","UQCR10"
0,3.48442732768891,0.418,0.047,0,"0","DMGDH"
0,4.21280014903652,0.404,0.033,0,"0","PSAT1"
0,2.10989753967077,0.584,0.215,0,"0","TIMM13"
0,5.08709294312699,0.384,0.016,0,"0","DIO1"
0,2.65843881059327,0.98,0.614,0,"0","PEBP1"
0,2.00887811193524,0.827,0.462,0,"0","DBI"
0,1.81977623030229,0.705,0.341,0,"0","AURKAIP1"
0,2.05533425666725,0.563,0.199,0,"0","REXO2"
0,1.85050922438891,0.799,0.437,0,"0","BRI3"
0,1.96516906407628,0.536,0.174,0,"0","TMEM141"
0,2.4905767830925,0.518,0.156,0,"0","AIG1"
0,2.5587399283773,0.473,0.111,0,"0","CA2"
0,1.77419514572412,0.743,0.382,0,"0","ISCU"
0,2.05151200384879,0.613,0.252,0,"0","PHB"
0,2.20363109015987,0.537,0.177,0,"0","ECHDC1"
0,2.08588167237013,0.563,0.205,0,"0","NDUFV1"
0,4.83073503680841,0.383,0.026,0,"0","FAM151A"
0,4.7114958297615,0.376,0.02,0,"0","AFP"
0,2.79790145390625,0.446,0.092,0,"0","MCRIP2"
0,1.67228188700676,0.766,0.413,0,"0","PRDX5"
0,3.30361943612071,0.403,0.05,0,"0","MAOB"
0,1.71134130034624,0.716,0.363,0,"0","NDUFB10"
0,1.70547156327401,0.724,0.371,0,"0","NDUFB7"
0,2.92262468709377,0.419,0.067,0,"0","HPN"
0,1.60970448639548,0.698,0.347,0,"0","VDAC1"
0,2.41489550622379,0.444,0.093,0,"0","HIBADH"
0,4.85741692051608,0.368,0.017,0,"0","LINC02754"
0,2.1691294828703,0.527,0.177,0,"0","KIAA1191"
0,2.0746216677091,0.9,0.55,0,"0","PRDX1"
0,1.78751509566209,0.578,0.228,0,"0","HADHB"
0,4.32786992420996,0.381,0.031,0,"0","GGACT"
0,1.66979180883688,0.76,0.411,0,"0","ATP5PD"
0,1.62336856628361,0.751,0.402,0,"0","MGST3"
0,4.31218339671566,0.378,0.029,0,"0","NOX4"
0,2.53028927966554,0.46,0.112,0,"0","ENOSF1"
0,4.11339139173876,0.375,0.027,0,"0","SLC34A1"
0,1.69465846533632,0.713,0.365,0,"0","FIS1"
0,1.34376003451125,0.495,0.148,0,"0","KRT18"
0,3.16876035937528,0.397,0.052,0,"0","RAB17"
0,2.09214383473634,0.524,0.179,0,"0","COA4"
0,1.75819522928473,0.588,0.243,0,"0","NDUFAF3"
0,2.83338958714698,0.407,0.063,0,"0","TMEM37"
0,2.21282417567955,0.516,0.173,0,"0","GALNT11"
0,1.53989654219774,0.686,0.345,0,"0","VAMP8"
0,1.80444186750002,0.519,0.178,0,"0","PRXL2A"
0,1.63358540021668,0.666,0.326,0,"0","PHPT1"
0,1.61063900322653,0.658,0.318,0,"0","COX5A"
0,2.02476435691741,0.894,0.554,0,"0","GPX4"
0,2.18620460299246,0.507,0.167,0,"0","HSD17B10"
0,1.83953873110777,0.554,0.215,0,"0","NDUFA7"
0,2.16585537962409,0.502,0.163,0,"0","SLC2A4RG"
0,2.5449939517869,0.449,0.111,0,"0","HNMT"
0,3.47143936700099,0.383,0.045,0,"0","IDNK"
0,2.29453892789603,0.51,0.172,0,"0","METTL7A"
0,2.1224367592369,0.508,0.17,0,"0","AK2"
0,4.13864645776958,0.365,0.027,0,"0","CYP4A11"
0,2.82359075590431,0.429,0.091,0,"0","GNPDA1"
0,1.48523880249417,0.615,0.277,0,"0","MPC1"
0,4.17820679535871,0.366,0.028,0,"0","DOCK8-AS1"
0,1.76647207965122,0.696,0.358,0,"0","BLOC1S1"
0,2.89867926207802,0.409,0.071,0,"0","DHRS4-AS1"
0,4.54685665075061,0.359,0.022,0,"0","SLC39A5"
0,1.94070928819519,0.529,0.195,0,"0","NDUFS2"
0,2.87809358780476,0.414,0.08,0,"0","NIPSNAP1"
0,1.75496900921974,0.808,0.475,0,"0","ATP5F1D"
0,2.28185078578755,0.442,0.109,0,"0","AP1S1"
0,1.72471853009302,0.633,0.3,0,"0","MRPL41"
0,3.39885048842233,0.385,0.052,0,"0","SLC37A4"
0,2.7267422128003,0.41,0.077,0,"0","TFEC"
0,1.82544111687308,0.83,0.497,0,"0","NDUFB2"
0,1.57510845281955,0.683,0.351,0,"0","HMGN3"
0,2.22193189572479,0.483,0.151,0,"0","ALDH9A1"
0,1.50373996839105,0.691,0.359,0,"0","NDUFS6"
0,1.59956784898548,0.707,0.375,0,"0","NDUFV2"
0,3.04120728752557,0.383,0.052,0,"0","CLYBL"
0,1.84816483829553,0.556,0.226,0,"0","TIMM8B"
0,1.68221990407508,0.625,0.297,0,"0","UQCRFS1"
0,4.02616731776962,0.356,0.028,0,"0","ETNK2"
0,1.93515779072375,0.835,0.507,0,"0","SLC25A5"
0,2.0742951987279,0.468,0.141,0,"0","CETN2"
0,2.94884015922802,0.404,0.077,0,"0","EAF2"
0,1.94639572745126,0.542,0.217,0,"0","RNF181"
0,1.97930323379475,0.502,0.177,0,"0","UQCRC1"
0,1.69972566200134,0.852,0.527,0,"0","COX5B"
0,2.66158433799433,0.417,0.093,0,"0","IDH1"
0,2.41721404046246,0.411,0.087,0,"0","PARD6B"
0,1.56739463960053,0.556,0.233,0,"0","SMS"
0,1.72115024221549,0.571,0.248,0,"0","NDUFB5"
0,1.66869076807673,0.551,0.229,0,"0","NDUFB6"
0,1.66574824147786,0.687,0.365,0,"0","ROMO1"
0,1.98698080049943,0.389,0.067,0,"0","HPGD"
0,3.17209135485168,0.375,0.053,0,"0","ACSM3"
0,1.73231072186998,0.838,0.516,0,"0","COX7B"
0,1.71040503567748,0.549,0.228,0,"0","FAM162A"
0,1.58499953728904,0.684,0.363,0,"0","DYNLRB1"
0,1.83452364007021,0.624,0.303,0,"0","TOMM5"
0,4.29716733852903,0.343,0.022,0,"0","HNF4A"
0,3.75724311003393,0.354,0.033,0,"0","CLDN2"
0,1.68374829795656,0.621,0.301,0,"0","METTL9"
0,5.1677512530806,0.335,0.015,0,"0","GLTPD2"
0,2.23289546148232,0.461,0.142,0,"0","TM7SF3"
0,1.69016811510714,0.549,0.23,0,"0","ATP6V1D"
0,1.97107885862021,0.929,0.61,0,"0","MT2A"
0,2.04860047071985,0.497,0.178,0,"0","SMIM19"
0,1.68132636156812,0.82,0.501,0,"0","COX8A"
0,1.84509862087407,0.527,0.209,0,"0","MTIF3"
0,1.59777599877295,0.734,0.416,0,"0","NDUFB4"
0,1.73380312879954,0.522,0.205,0,"0","CHCHD1"
0,2.99716832351171,0.372,0.055,0,"0","HDHD3"
0,1.7334870648802,0.614,0.297,0,"0","GSTO1"
0,3.54510699162709,0.359,0.043,0,"0","NPL"
0,5.05439713112873,0.33,0.014,0,"0","DHDH"
0,5.15440766245656,0.326,0.011,0,"0","TTC36"
0,1.43007209481262,0.507,0.192,0,"0","CBR1"
0,1.79669434175209,0.871,0.556,0,"0","ATP5ME"
0,1.68630716619306,0.578,0.263,0,"0","DYNLT1"
0,4.96439893790634,0.327,0.013,0,"0","TCL6"
0,1.61486887116849,0.621,0.307,0,"0","SMDT1"
0,1.72240017723299,0.571,0.257,0,"0","NDUFS7"
0,0.901305930502791,0.819,0.505,0,"0","DSTN"
0,1.70655692122254,0.539,0.226,0,"0","PPCS"
0,1.79311499548547,0.545,0.232,0,"0","EIF6"
0,1.58646805037689,0.626,0.313,0,"0","CHMP2A"
0,1.51895974459359,0.699,0.386,0,"0","ATP5PO"
0,4.01503569154644,0.343,0.031,0,"0","HAAO"
0,1.76991209733003,0.534,0.222,0,"0","POLR2I"
0,1.33372206505446,0.65,0.338,0,"0","NDUFA5"
0,2.27542352568367,0.434,0.122,0,"0","IVD"
0,1.58877241704645,0.611,0.3,0,"0","ATP5PB"
0,2.22276499050866,0.43,0.119,0,"0","ASL"
0,2.27046719142392,0.433,0.122,0,"0","HSDL2"
0,1.20593715627435,0.673,0.363,0,"0","MAF"
0,1.53911430231421,0.628,0.319,0,"0","MRPL20"
0,3.56137312166796,0.353,0.044,0,"0","TKFC"
0,1.98478181581158,0.457,0.149,0,"0","GNG12"
0,1.88766266462723,0.534,0.226,0,"0","PGRMC1"
0,1.7805619448014,0.499,0.191,0,"0","PSMB5"
0,1.60731032042892,0.837,0.529,0,"0","NDUFA1"
0,1.58412109027552,0.736,0.429,0,"0","TBCA"
0,4.1315265520252,0.331,0.024,0,"0","SUGCT"
0,3.33116662251585,0.363,0.056,0,"0","KL"
0,2.29655947366956,0.399,0.093,0,"0","PMM1"
0,5.06132004325789,0.324,0.018,0,"0","CYP17A1"
0,1.84142848005245,0.477,0.171,0,"0","MRPL40"
0,1.71422928553508,0.527,0.222,0,"0","FDX1"
0,2.49805485859162,0.372,0.067,0,"0","SELENBP1"
0,1.3393648230975,0.444,0.139,0,"0","KRT8"
0,1.81307213206257,0.485,0.181,0,"0","GTF2H5"
0,2.00802382378664,0.426,0.122,0,"0","FMC1"
0,1.80967649366417,0.519,0.216,0,"0","LAMTOR2"
0,1.62663322721286,0.558,0.255,0,"0","NDUFA10"
0,1.88493256408914,0.46,0.158,0,"0","MRPS26"
0,1.53542692111328,0.725,0.423,0,"0","NDUFB8"
0,1.99602931012407,0.488,0.186,0,"0","IER3IP1"
0,1.66912031522911,0.533,0.232,0,"0","ESD"
0,1.0110243825193,0.552,0.251,0,"0","BEX3"
0,1.52986884123995,0.727,0.426,0,"0","NDUFA11"
0,1.91456345108927,0.464,0.164,0,"0","STOML2"
0,2.57263886596153,0.408,0.108,0,"0","NAPRT"
0,1.95629674470831,0.456,0.157,0,"0","MRPS33"
0,3.12547544631561,0.35,0.051,0,"0","ACOT7"
0,2.66787684957426,0.353,0.054,0,"0","OGDHL"
0,1.47487896011928,0.74,0.441,0,"0","ATP5F1B"
0,3.47298325605569,0.324,0.025,0,"0","LINC00671"
0,3.6089458919935,0.33,0.032,0,"0","PRLR"
0,1.65352963172038,0.475,0.177,0,"0","ARL3"
0,1.65653599884555,0.573,0.275,0,"0","CAMTA1"
0,1.95228468668068,0.459,0.162,0,"0","RPA3"
0,3.27478578842886,0.341,0.044,0,"0","NUDT8"
0,1.87540818875889,0.455,0.158,0,"0","MRPL27"
0,1.50837505988559,0.662,0.366,0,"0","ATP6V1F"
0,1.65657247764666,0.513,0.217,0,"0","ARL2"
0,5.22796869206307,0.308,0.012,0,"0","G6PC"
0,2.80996168345059,0.356,0.06,0,"0","TTC38"
0,2.31232737133904,0.374,0.079,0,"0","TCEA3"
0,1.56338088763476,0.593,0.298,0,"0","C1QBP"
0,2.59916438972843,0.394,0.1,0,"0","CES2"
0,1.69265632226036,0.554,0.26,0,"0","ALKBH7"
