"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Mono-Mac","T","CCL20","CCR6",0.000567016177883258,0,"CCL20_CCR6","CCL20 - CCR6","CCL","Secreted Signaling","KEGG: hsa04060"
"Neut","T","CCL20","CCR6",0.00107082710700909,0,"CCL20_CCR6","CCL20 - CCR6","CCL","Secreted Signaling","KEGG: hsa04060"
"T","T","CCL20","CCR6",0.00082312824503841,0,"CCL20_CCR6","CCL20 - CCR6","CCL","Secreted Signaling","KEGG: hsa04060"
"MES","B","CCL21","CCR7",0.00126475867211394,0,"CCL21_CCR7","CCL21 - CCR7","CCL","Secreted Signaling","KEGG: hsa04060"
"MES","Mono-Mac","CCL21","CCR7",0.000342952092824064,0,"CCL21_CCR7","CCL21 - CCR7","CCL","Secreted Signaling","KEGG: hsa04060"
"MES","Plasma","CCL21","CCR7",1.33821157288946e-05,0,"CCL21_CCR7","CCL21 - CCR7","CCL","Secreted Signaling","KEGG: hsa04060"
"MES","T","CCL21","CCR7",0.00040372984964706,0,"CCL21_CCR7","CCL21 - CCR7","CCL","Secreted Signaling","KEGG: hsa04060"
"MES","MES","CCL28","CCR10",5.7876104778842e-06,0,"CCL28_CCR10","CCL28 - CCR10","CCL","Secreted Signaling","KEGG: hsa04060"
"MES","Plasma","CCL28","CCR10",1.44973389853666e-05,0,"CCL28_CCR10","CCL28 - CCR10","CCL","Secreted Signaling","KEGG: hsa04060"
"B","EC","CCL2","ACKR1",0.000914849691027417,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"dPCT","EC","CCL2","ACKR1",0.0031417003741298,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"EC","EC","CCL2","ACKR1",0.0252552369110593,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"Mast","EC","CCL2","ACKR1",0.00218679936942095,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"MES","EC","CCL2","ACKR1",0.0196157166311275,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"Mono-Mac","EC","CCL2","ACKR1",0.00611624812877442,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"Plasma","EC","CCL2","ACKR1",0.00188913717392112,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"T","EC","CCL2","ACKR1",0.000833157500747076,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"B","EC","CCL5","ACKR1",0.00197985980832553,0,"CCL5_ACKR1","CCL5 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"Plasma","EC","CCL5","ACKR1",0.000113218778484346,0,"CCL5_ACKR1","CCL5 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"T","EC","CCL5","ACKR1",0.0348659468047887,0,"CCL5_ACKR1","CCL5 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"EC","EC","CCL14","ACKR1",0.030601902285194,0,"CCL14_ACKR1","CCL14 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"B","EC","CXCL1","ACKR1",0.000918134767853697,0,"CXCL1_ACKR1","CXCL1 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"dPCT","EC","CXCL1","ACKR1",0.00226701837986161,0,"CXCL1_ACKR1","CXCL1 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"EC","EC","CXCL1","ACKR1",0.000966795486205454,0,"CXCL1_ACKR1","CXCL1 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"MES","EC","CXCL1","ACKR1",0.00161689003272672,0,"CXCL1_ACKR1","CXCL1 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Mono-Mac","EC","CXCL1","ACKR1",0.00193760999826998,0,"CXCL1_ACKR1","CXCL1 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Neut","EC","CXCL1","ACKR1",0.0330405429753186,0,"CXCL1_ACKR1","CXCL1 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Plasma","EC","CXCL1","ACKR1",0.000479416309516999,0,"CXCL1_ACKR1","CXCL1 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"T","EC","CXCL1","ACKR1",0.00030061781262675,0,"CXCL1_ACKR1","CXCL1 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"dPCT","EC","CXCL2","ACKR1",0.0013086913619692,0,"CXCL2_ACKR1","CXCL2 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"EC","EC","CXCL2","ACKR1",0.016740680976209,0,"CXCL2_ACKR1","CXCL2 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"MES","EC","CXCL2","ACKR1",0.00410467849102027,0,"CXCL2_ACKR1","CXCL2 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Mono-Mac","EC","CXCL2","ACKR1",0.0302999898996404,0,"CXCL2_ACKR1","CXCL2 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Neut","EC","CXCL2","ACKR1",0.0120574008657021,0,"CXCL2_ACKR1","CXCL2 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Plasma","EC","CXCL2","ACKR1",0.000448501883893703,0,"CXCL2_ACKR1","CXCL2 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"EC","EC","CXCL3","ACKR1",0.00407798031613271,0,"CXCL3_ACKR1","CXCL3 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"MES","EC","CXCL3","ACKR1",0.000650531562033097,0,"CXCL3_ACKR1","CXCL3 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Mono-Mac","EC","CXCL3","ACKR1",0.0198007970961275,0,"CXCL3_ACKR1","CXCL3 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"B","EC","CXCL8","ACKR1",0.0016590937517872,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"dPCT","EC","CXCL8","ACKR1",0.000451343943092109,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"EC","EC","CXCL8","ACKR1",0.00191699349315885,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Mast","EC","CXCL8","ACKR1",0.00231662985950941,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"MES","EC","CXCL8","ACKR1",0.00170461979895022,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Mono-Mac","EC","CXCL8","ACKR1",0.0747005350278555,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Neut","EC","CXCL8","ACKR1",0.135724038044097,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"Plasma","EC","CXCL8","ACKR1",0.00116369245988232,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"T","EC","CXCL8","ACKR1",0.00167859802855502,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"EC","EC","CXCL10","ACKR1",0.000658686015082044,0,"CXCL10_ACKR1","CXCL10 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"MES","EC","CCL11","ACKR1",0.000104292873326013,0,"CCL11_ACKR1","CCL11 - ACKR1","CCL","Secreted Signaling","PMID: 26740381"
"B","Neut","CXCL1","CXCR1",0.000310819907349948,0,"CXCL1_CXCR1","CXCL1 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"dPCT","Neut","CXCL1","CXCR1",0.000768148981122117,0,"CXCL1_CXCR1","CXCL1 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Neut","CXCL1","CXCR1",0.00032730376352534,0,"CXCL1_CXCR1","CXCL1 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Neut","CXCL1","CXCR1",0.000547625723616837,0,"CXCL1_CXCR1","CXCL1 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mono-Mac","Neut","CXCL1","CXCR1",0.000656390056958816,0,"CXCL1_CXCR1","CXCL1 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Neut","Neut","CXCL1","CXCR1",0.0114284022161954,0,"CXCL1_CXCR1","CXCL1 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Plasma","Neut","CXCL1","CXCR1",0.000162251630186509,0,"CXCL1_CXCR1","CXCL1 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"T","Neut","CXCL1","CXCR1",0.000101727783535365,0,"CXCL1_CXCR1","CXCL1 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"dPCT","Neut","CXCL2","CXCR1",0.00044315121278359,0,"CXCL2_CXCR1","CXCL2 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Neut","CXCL2","CXCR1",0.00572728831901157,0,"CXCL2_CXCR1","CXCL2 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Neut","CXCL2","CXCR1",0.0013925113684578,0,"CXCL2_CXCR1","CXCL2 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mono-Mac","Neut","CXCL2","CXCR1",0.0104610780461563,0,"CXCL2_CXCR1","CXCL2 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Neut","Neut","CXCL2","CXCR1",0.00411216839667387,0,"CXCL2_CXCR1","CXCL2 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Plasma","Neut","CXCL2","CXCR1",0.000151785976799431,0,"CXCL2_CXCR1","CXCL2 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Neut","CXCL3","CXCR1",0.00138342951246936,0,"CXCL3_CXCR1","CXCL3 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Neut","CXCL3","CXCR1",0.000220188091329067,0,"CXCL3_CXCR1","CXCL3 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mono-Mac","Neut","CXCL3","CXCR1",0.00678810758622256,0,"CXCL3_CXCR1","CXCL3 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"B","Neut","CXCL8","CXCR1",0.000561935442404972,0,"CXCL8_CXCR1","CXCL8 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"dPCT","Neut","CXCL8","CXCR1",0.000152748098955212,0,"CXCL8_CXCR1","CXCL8 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Neut","CXCL8","CXCR1",0.000649397083330447,0,"CXCL8_CXCR1","CXCL8 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mast","Neut","CXCL8","CXCR1",0.000784984977196641,0,"CXCL8_CXCR1","CXCL8 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Neut","CXCL8","CXCR1",0.000577372536719649,0,"CXCL8_CXCR1","CXCL8 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mono-Mac","Neut","CXCL8","CXCR1",0.0265874579735183,0,"CXCL8_CXCR1","CXCL8 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Neut","Neut","CXCL8","CXCR1",0.0504499429789698,0,"CXCL8_CXCR1","CXCL8 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"Plasma","Neut","CXCL8","CXCR1",0.000394013611953788,0,"CXCL8_CXCR1","CXCL8 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"T","Neut","CXCL8","CXCR1",0.00056854889094457,0,"CXCL8_CXCR1","CXCL8 - CXCR1","CXCL","Secreted Signaling","KEGG: hsa04060"
"B","Neut","CXCL1","CXCR2",0.00147721749123617,0,"CXCL1_CXCR2","CXCL1 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"dPCT","Neut","CXCL1","CXCR2",0.00364448483198472,0,"CXCL1_CXCR2","CXCL1 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Neut","CXCL1","CXCR2",0.00155546320304786,0,"CXCL1_CXCR2","CXCL1 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Neut","CXCL1","CXCR2",0.00260036056332548,0,"CXCL1_CXCR2","CXCL1 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mono-Mac","Neut","CXCL1","CXCR2",0.0031155491288198,0,"CXCL1_CXCR2","CXCL1 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Neut","Neut","CXCL1","CXCR2",0.0521392245319109,0,"CXCL1_CXCR2","CXCL1 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Plasma","Neut","CXCL1","CXCR2",0.000771555117711643,0,"CXCL1_CXCR2","CXCL1 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"T","Neut","CXCL1","CXCR2",0.000483856083019918,0,"CXCL1_CXCR2","CXCL1 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"dPCT","Neut","CXCL2","CXCR2",0.00210509585396218,0,"CXCL2_CXCR2","CXCL2 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Neut","CXCL2","CXCR2",0.0266773678012777,0,"CXCL2_CXCR2","CXCL2 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Neut","CXCL2","CXCR2",0.00659135185402073,0,"CXCL2_CXCR2","CXCL2 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mono-Mac","Neut","CXCL2","CXCR2",0.0478929900590734,0,"CXCL2_CXCR2","CXCL2 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Neut","Neut","CXCL2","CXCR2",0.0192687310725681,0,"CXCL2_CXCR2","CXCL2 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Plasma","Neut","CXCL2","CXCR2",0.000721816173166541,0,"CXCL2_CXCR2","CXCL2 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Neut","CXCL3","CXCR2",0.00654858589445342,0,"CXCL3_CXCR2","CXCL3 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Neut","CXCL3","CXCR2",0.00104683255517009,0,"CXCL3_CXCR2","CXCL3 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mono-Mac","Neut","CXCL3","CXCR2",0.0314956804829779,0,"CXCL3_CXCR2","CXCL3 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"B","Neut","CXCL8","CXCR2",0.00266816601694067,0,"CXCL8_CXCR2","CXCL8 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"dPCT","Neut","CXCL8","CXCR2",0.000726388907137016,0,"CXCL8_CXCR2","CXCL8 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Neut","CXCL8","CXCR2",0.00308243785652884,0,"CXCL8_CXCR2","CXCL8 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mast","Neut","CXCL8","CXCR2",0.00372412830041501,0,"CXCL8_CXCR2","CXCL8 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Neut","CXCL8","CXCR2",0.00274130528920519,0,"CXCL8_CXCR2","CXCL8 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Mono-Mac","Neut","CXCL8","CXCR2",0.115015921738684,0,"CXCL8_CXCR2","CXCL8 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Neut","Neut","CXCL8","CXCR2",0.20179110061917,0,"CXCL8_CXCR2","CXCL8 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"Plasma","Neut","CXCL8","CXCR2",0.00187202323186421,0,"CXCL8_CXCR2","CXCL8 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"T","Neut","CXCL8","CXCR2",0.00269950085297671,0,"CXCL8_CXCR2","CXCL8 - CXCR2","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","T","CXCL10","CXCR3",7.77167018233544e-05,0,"CXCL10_CXCR3","CXCL10 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","B","CXCL12","CXCR4",0.00648316663716588,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"LOH-DCT","B","CXCL12","CXCR4",0.017717378597971,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","B","CXCL12","CXCR4",0.0128091715181246,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","MES","CXCL12","CXCR4",0.000137389655683488,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"LOH-DCT","MES","CXCL12","CXCR4",0.000379664367880418,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","MES","CXCL12","CXCR4",0.000273151152392283,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Mono-Mac","CXCL12","CXCR4",0.00495507370956732,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"LOH-DCT","Mono-Mac","CXCL12","CXCR4",0.0135775505288043,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Mono-Mac","CXCL12","CXCR4",0.00980474370249576,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Neut","CXCL12","CXCR4",0.00869440007249354,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"LOH-DCT","Neut","CXCL12","CXCR4",0.0236690149342583,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Neut","CXCL12","CXCR4",0.0171408098917503,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","Plasma","CXCL12","CXCR4",0.0048664291420629,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"LOH-DCT","Plasma","CXCL12","CXCR4",0.013336720286854,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","Plasma","CXCL12","CXCR4",0.00963017986850394,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","T","CXCL12","CXCR4",0.00604421518691811,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"LOH-DCT","T","CXCL12","CXCR4",0.0165304553966576,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","T","CXCL12","CXCR4",0.0119470599077235,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"EC","MES","CXCL12","ACKR3",6.13002900915868e-05,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"LOH-DCT","MES","CXCL12","ACKR3",0.000169420757288848,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"MES","MES","CXCL12","ACKR3",0.000121883296274368,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"B","B","MIF","CD74_CXCR4",0.115563987758469,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"dPCT","B","MIF","CD74_CXCR4",0.222547319731417,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"EC","B","MIF","CD74_CXCR4",0.133115014724325,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"LOH-DCT","B","MIF","CD74_CXCR4",0.212766374167855,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Mast","B","MIF","CD74_CXCR4",0.097579552409917,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MES","B","MIF","CD74_CXCR4",0.163665379003686,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Mono-Mac","B","MIF","CD74_CXCR4",0.113703024176443,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"PCT","B","MIF","CD74_CXCR4",0.231358543889114,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma","B","MIF","CD74_CXCR4",0.116467539359435,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T","B","MIF","CD74_CXCR4",0.131458508532641,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"B","Mono-Mac","MIF","CD74_CXCR4",0.107798084818108,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"dPCT","Mono-Mac","MIF","CD74_CXCR4",0.209293409821948,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"EC","Mono-Mac","MIF","CD74_CXCR4",0.124335488481119,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"LOH-DCT","Mono-Mac","MIF","CD74_CXCR4",0.199945163529927,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Mast","Mono-Mac","MIF","CD74_CXCR4",0.09089799468152,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MES","Mono-Mac","MIF","CD74_CXCR4",0.153227071826827,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Mono-Mac","Mono-Mac","MIF","CD74_CXCR4",0.106047183258764,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"PCT","Mono-Mac","MIF","CD74_CXCR4",0.217726836296189,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasma","Mono-Mac","MIF","CD74_CXCR4",0.108648376704545,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T","Mono-Mac","MIF","CD74_CXCR4",0.122772763116254,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"dPCT","Plasma","MIF","CD74_CXCR4",0.165522209968569,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"EC","Plasma","MIF","CD74_CXCR4",0.0961711590069252,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"LOH-DCT","Plasma","MIF","CD74_CXCR4",0.157739017029255,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MES","Plasma","MIF","CD74_CXCR4",0.119410699027072,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"PCT","Plasma","MIF","CD74_CXCR4",0.172576836517015,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T","Plasma","MIF","CD74_CXCR4",0.0949240473895159,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"dPCT","T","MIF","CD74_CXCR4",0.117739768679281,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"LOH-DCT","T","MIF","CD74_CXCR4",0.111902107900951,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MES","T","MIF","CD74_CXCR4",0.0836059308886217,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"PCT","T","MIF","CD74_CXCR4",0.123058205744071,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"B","B","MIF","CD74_CD44",0.114797690021521,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"dPCT","B","MIF","CD74_CD44",0.221249084402925,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"EC","B","MIF","CD74_CD44",0.132249739473155,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"LOH-DCT","B","MIF","CD74_CD44",0.211509673496484,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Mast","B","MIF","CD74_CD44",0.0969194401479937,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"MES","B","MIF","CD74_CD44",0.162638776897629,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Mono-Mac","B","MIF","CD74_CD44",0.112947490495505,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"PCT","B","MIF","CD74_CD44",0.230024115876319,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Plasma","B","MIF","CD74_CD44",0.115696033981548,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"T","B","MIF","CD74_CD44",0.130602378695284,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
