exposure,paper_nsnp,paper_b,paper_pval,ours_nsnp,ours_b,or,ours_pval
ALDH2,14.0,-0.395434133,0.032141913,15,-0.4022370356240868,0.6688221922139435,0.027626927279496227
FN1,3.0,1.021210864,0.012215306,3,1.021210863996593,2.7765547594977997,0.012215305555282718
